dt	res
-5.000000000000000e-002	1.010830e-005
-4.900000000000000e-002	1.010840e-005
-4.800000000000000e-002	1.010840e-005
-4.700000000000000e-002	1.010840e-005
-4.600000000000000e-002	1.010840e-005
-4.500000000000000e-002	1.010840e-005
-4.400000000000000e-002	1.010820e-005
-4.300000000000000e-002	1.010850e-005
-4.200000000000000e-002	1.010860e-005
-4.100000000000000e-002	1.010860e-005
-4.000000000000000e-002	1.010870e-005
-3.900000000000000e-002	1.010870e-005
-3.800000000000000e-002	1.010870e-005
-3.700000000000000e-002	1.010880e-005
-3.600000000000000e-002	1.010890e-005
-3.500000000000000e-002	1.010890e-005
-3.400000000000000e-002	1.010900e-005
-3.300000000000000e-002	1.010890e-005
-3.200000000000000e-002	1.010910e-005
-3.100000000000000e-002	1.010910e-005
-3.000000000000000e-002	1.010920e-005
-2.900000000000000e-002	1.010920e-005
-2.800000000000000e-002	1.010930e-005
-2.700000000000000e-002	1.010930e-005
-2.600000000000000e-002	1.010940e-005
-2.500000000000000e-002	1.010950e-005
-2.400000000000000e-002	1.010950e-005
-2.300000000000000e-002	1.010960e-005
-2.200000000000000e-002	1.010960e-005
-2.100000000000000e-002	1.010970e-005
-2.000000000000000e-002	1.010970e-005
-1.900000000000000e-002	1.010980e-005
-1.800000000000000e-002	1.010990e-005
-1.700000000000000e-002	1.010990e-005
-1.600000000000000e-002	1.011000e-005
-1.500000000000000e-002	1.011000e-005
-1.400000000000000e-002	1.011010e-005
-1.300000000000000e-002	1.011010e-005
-1.200000000000000e-002	1.011010e-005
-1.100000000000000e-002	1.011020e-005
-1.000000000000000e-002	1.011030e-005
-8.999999999999999e-003	1.011020e-005
-8.000000000000000e-003	1.011000e-005
-7.000000000000000e-003	1.011000e-005
-6.000000000000000e-003	1.010990e-005
-5.000000000000000e-003	1.010990e-005
-4.000000000000000e-003	1.010980e-005
-3.000000000000000e-003	1.010980e-005
-2.000000000000000e-003	1.010980e-005
-1.000000000000000e-003	1.010980e-005
3.469450000000000e-017	1.010980e-005
1.000000000000000e-003	1.010980e-005
2.000000000000000e-003	1.010980e-005
3.000000000000000e-003	1.010970e-005
4.000000000000000e-003	1.010960e-005
5.000000000000000e-003	1.010950e-005
6.000000000000000e-003	1.010940e-005
7.000000000000000e-003	1.010920e-005
8.000000000000000e-003	1.010900e-005
8.999999999999999e-003	1.010890e-005
1.000000000000000e-002	1.010870e-005
1.100000000000000e-002	1.010880e-005
1.200000000000000e-002	1.010890e-005
1.300000000000000e-002	1.010890e-005
1.400000000000000e-002	1.010890e-005
1.500000000000000e-002	1.010900e-005
1.600000000000000e-002	1.010910e-005
1.700000000000000e-002	1.010910e-005
1.800000000000000e-002	1.010910e-005
1.900000000000000e-002	1.010920e-005
2.000000000000000e-002	1.010920e-005
2.100000000000000e-002	1.010930e-005
2.200000000000000e-002	1.010940e-005
2.300000000000000e-002	1.010940e-005
2.400000000000000e-002	1.010950e-005
2.500000000000000e-002	1.010950e-005
2.600000000000000e-002	1.010960e-005
2.700000000000000e-002	1.010960e-005
2.800000000000000e-002	1.010970e-005
2.900000000000000e-002	1.010970e-005
3.000000000000000e-002	1.010980e-005
3.100000000000000e-002	1.010980e-005
3.200000000000000e-002	1.010990e-005
3.300000000000000e-002	1.011000e-005
3.400000000000000e-002	1.011000e-005
3.500000000000000e-002	1.011010e-005
3.600000000000000e-002	1.011010e-005
3.700000000000000e-002	1.011010e-005
3.800000000000000e-002	1.011020e-005
3.900000000000000e-002	1.011030e-005
4.000000000000000e-002	1.011030e-005
4.100000000000000e-002	1.011030e-005
4.200000000000000e-002	1.011040e-005
4.300000000000000e-002	1.011040e-005
4.400000000000000e-002	1.011050e-005
4.500000000000000e-002	1.011050e-005
4.600000000000000e-002	1.011050e-005
4.700000000000000e-002	1.011060e-005
4.800000000000000e-002	1.011060e-005
4.900000000000000e-002	1.011060e-005
5.000000000000000e-002	1.011060e-005
