time	V(pre)	V(pre)/Ix(U1:TE)	Ix(U1:TE)
Step Information: Voltage=600m  (Run: 1/6)
0.000000000000000e+000	1.000000e+000	3.385370e+001	2.953887e-002
1.020500000033877e-001	1.000000e+000	3.385195e+001	2.954040e-002
2.044500000067870e-001	1.000000e+000	3.385020e+001	2.954192e-002
3.068500000101864e-001	1.000000e+000	3.384845e+001	2.954345e-002
4.092500000135857e-001	1.000000e+000	3.384670e+001	2.954498e-002
5.116500000169850e-001	1.000000e+000	3.384495e+001	2.954651e-002
6.140500000203844e-001	1.000000e+000	3.384320e+001	2.954803e-002
7.164500000237837e-001	1.000000e+000	3.384146e+001	2.954955e-002
8.188500000271830e-001	1.000000e+000	3.383972e+001	2.955107e-002
9.212500000305823e-001	1.000000e+000	3.383798e+001	2.955259e-002
1.000000999999998e+000	9.999962e-001	3.383716e+001	2.955320e-002
1.000001080000004e+000	9.119959e-001	4.406489e+001	2.069665e-002
1.000001240000003e+000	7.359953e-001	6.988080e+001	1.053215e-002
1.000001560000001e+000	3.839941e-001	1.297325e+002	2.959891e-003
1.000001999999995e+000	-1.000076e-001	1.391670e+004	-7.186155e-006
1.004333007999804e+000	-1.164654e-001	1.317731e+004	-8.838332e-006
1.008833007999954e+000	-1.335654e-001	1.243962e+004	-1.073710e-005
1.013533008000110e+000	-1.514254e-001	1.170223e+004	-1.293988e-005
1.018433008000272e+000	-1.700454e-001	1.096916e+004	-1.550213e-005
1.020433008000339e+000	-1.776454e-001	1.068032e+004	-1.663297e-005
1.025533008000508e+000	-1.970254e-001	9.970607e+003	-1.976063e-005
1.030733008000681e+000	-2.167854e-001	9.286020e+003	-2.334536e-005
1.036133008000860e+000	-2.373054e-001	8.615790e+003	-2.754308e-005
1.041633008001043e+000	-2.582054e-001	7.974506e+003	-3.237886e-005
1.047233008001228e+000	-2.794854e-001	7.362975e+003	-3.795822e-005
1.052933008001418e+000	-3.011454e-001	6.781780e+003	-4.440507e-005
1.058733008001610e+000	-3.231854e-001	6.231277e+003	-5.186504e-005
1.064533008001803e+000	-3.452254e-001	5.720085e+003	-6.035320e-005
1.070433008001999e+000	-3.676454e-001	5.238367e+003	-7.018322e-005
1.076433008002198e+000	-3.904454e-001	4.785928e+003	-8.158197e-005
1.082533008002400e+000	-4.136254e-001	4.362396e+003	-9.481610e-005
1.088633008002603e+000	-4.368054e-001	3.973336e+003	-1.099342e-004
1.094833008002809e+000	-4.603654e-001	3.610911e+003	-1.274929e-004
1.101033008003014e+000	-4.839254e-001	3.279489e+003	-1.475612e-004
1.107333008003224e+000	-5.078654e-001	2.972203e+003	-1.708717e-004
1.113733008003436e+000	-5.321854e-001	2.688193e+003	-1.979715e-004
1.120133008003649e+000	-5.565054e-001	2.430344e+003	-2.289821e-004
1.122833008003738e+000	-5.667654e-001	2.328898e+003	-2.433621e-004
1.129333008003954e+000	-5.914654e-001	2.101323e+003	-2.814729e-004
1.135933008004173e+000	-6.165454e-001	1.892657e+003	-3.257566e-004
1.142633008004395e+000	-6.420054e-001	1.701897e+003	-3.772293e-004
1.149433008004621e+000	-6.678454e-001	1.528023e+003	-4.370651e-004
1.156233008004847e+000	-6.936854e-001	1.372169e+003	-5.055392e-004
1.163133008005076e+000	-7.199054e-001	1.230678e+003	-5.849667e-004
1.170133008005308e+000	-7.465054e-001	1.102593e+003	-6.770453e-004
1.177333008005547e+000	-7.738654e-001	9.854456e+002	-7.852949e-004
1.184633008005790e+000	-8.016054e-001	8.802068e+002	-9.107012e-004
1.192133008006039e+000	-8.301054e-001	7.847525e+002	-1.057793e-003
1.199833008006294e+000	-8.593654e-001	6.986326e+002	-1.230068e-003
1.207733008006557e+000	-8.893854e-001	6.213628e+002	-1.431346e-003
1.216033008006832e+000	-9.209254e-001	5.508584e+002	-1.671801e-003
1.224733008007121e+000	-9.539855e-001	4.872815e+002	-1.957771e-003
1.225233008007137e+000	-9.558854e-001	4.839210e+002	-1.975292e-003
1.234633008007450e+000	-9.916054e-001	4.261528e+002	-2.326878e-003
1.245233008007801e+000	-1.031885e+000	3.721919e+002	-2.772456e-003
1.259033008008260e+000	-1.084325e+000	3.172669e+002	-3.417708e-003
1.276633008008844e+000	-1.151205e+000	2.692234e+002	-4.276022e-003
1.286833008009182e+000	-1.189965e+000	2.523233e+002	-4.716035e-003
1.294433008009435e+000	-1.218845e+000	2.456357e+002	-4.962005e-003
1.300733008009644e+000	-1.242785e+000	2.448571e+002	-5.075553e-003
1.306033008009820e+000	-1.262925e+000	2.486348e+002	-5.079440e-003
1.310733008009976e+000	-1.280785e+000	2.566904e+002	-4.989611e-003
1.314833008010112e+000	-1.296365e+000	2.689083e+002	-4.820846e-003
1.316233008010158e+000	-1.301685e+000	2.745847e+002	-4.740560e-003
1.316433008010165e+000	-1.302445e+000	2.754706e+002	-4.728073e-003
1.316633008010172e+000	-1.303205e+000	2.763674e+002	-4.715482e-003
1.320133008010288e+000	-1.316505e+000	2.924620e+002	-4.501458e-003
1.323633008010404e+000	-1.329805e+000	3.093411e+002	-4.298832e-003
1.327133008010520e+000	-1.343105e+000	3.270550e+002	-4.106665e-003
1.327633008010537e+000	-1.345005e+000	3.296562e+002	-4.080024e-003
1.331133008010653e+000	-1.358305e+000	3.483742e+002	-3.898985e-003
1.334633008010769e+000	-1.371605e+000	3.680009e+002	-3.727179e-003
1.338133008010885e+000	-1.384905e+000	3.885495e+002	-3.564296e-003
1.341633008011002e+000	-1.398205e+000	4.100139e+002	-3.410141e-003
1.345133008011118e+000	-1.411505e+000	4.323661e+002	-3.264607e-003
1.348633008011234e+000	-1.424805e+000	4.555510e+002	-3.127653e-003
1.352033008011347e+000	-1.437725e+000	4.787897e+002	-3.002833e-003
1.355433008011460e+000	-1.450645e+000	5.026227e+002	-2.886152e-003
1.358833008011573e+000	-1.463565e+000	5.269056e+002	-2.777662e-003
1.362233008011685e+000	-1.476485e+000	5.514572e+002	-2.677425e-003
1.365633008011798e+000	-1.489405e+000	5.760597e+002	-2.585505e-003
1.369033008011911e+000	-1.502325e+000	6.004593e+002	-2.501960e-003
1.372433008012024e+000	-1.515245e+000	6.243695e+002	-2.426841e-003
1.375833008012137e+000	-1.528165e+000	6.474777e+002	-2.360182e-003
1.379333008012253e+000	-1.541465e+000	6.700789e+002	-2.300424e-003
1.382833008012369e+000	-1.554765e+000	6.911118e+002	-2.249658e-003
1.386433008012489e+000	-1.568445e+000	7.107304e+002	-2.206808e-003
1.390033008012608e+000	-1.582125e+000	7.279442e+002	-2.173416e-003
1.393733008012731e+000	-1.596185e+000	7.427958e+002	-2.148889e-003
1.397633008012861e+000	-1.611005e+000	7.550341e+002	-2.133686e-003
1.401633008012993e+000	-1.626205e+000	7.637217e+002	-2.129317e-003
1.405833008013133e+000	-1.642165e+000	7.685193e+002	-2.136791e-003
1.410333008013282e+000	-1.659265e+000	7.687888e+002	-2.158285e-003
1.415233008013445e+000	-1.677885e+000	7.636291e+002	-2.197252e-003
1.420633008013624e+000	-1.698405e+000	7.519788e+002	-2.258582e-003
1.426633008013823e+000	-1.721205e+000	7.327997e+002	-2.348807e-003
1.430033008013936e+000	-1.734125e+000	7.195403e+002	-2.410046e-003
1.437733008014192e+000	-1.763385e+000	6.847470e+002	-2.575236e-003
1.447133008014504e+000	-1.799105e+000	6.366448e+002	-2.825917e-003
1.457033008014832e+000	-1.836725e+000	5.834989e+002	-3.147779e-003
1.467333008015174e+000	-1.875865e+000	5.289188e+002	-3.546604e-003
1.477933008015526e+000	-1.916145e+000	4.756873e+002	-4.028162e-003
1.488833008015888e+000	-1.957565e+000	4.251741e+002	-4.604151e-003
1.499899999999997e+000	-1.999620e+000	3.786288e+002	-5.281215e-003
1.532150000001067e+000	-2.000000e+000	3.786171e+002	-5.282382e-003
1.634550000004467e+000	-2.000000e+000	3.786417e+002	-5.282039e-003
1.736950000007866e+000	-2.000000e+000	3.786417e+002	-5.282039e-003
1.839350000011265e+000	-2.000000e+000	3.786417e+002	-5.282039e-003
1.900111401027971e+000	-1.999577e+000	3.790899e+002	-5.274676e-003
1.911311401028343e+000	-1.957017e+000	4.268862e+002	-4.584399e-003
1.922511401028714e+000	-1.914457e+000	4.804816e+002	-3.984454e-003
1.933711401029086e+000	-1.871897e+000	5.405387e+002	-3.463021e-003
1.939611401029282e+000	-1.849477e+000	5.750192e+002	-3.216374e-003
1.950811401029654e+000	-1.806917e+000	6.463765e+002	-2.795456e-003
1.962011401030026e+000	-1.764357e+000	7.261862e+002	-2.429620e-003
1.973211401030397e+000	-1.721797e+000	8.153761e+002	-2.111659e-003
1.984411401030769e+000	-1.679237e+000	9.149617e+002	-1.835308e-003
1.995611401031141e+000	-1.636677e+000	1.026052e+003	-1.595121e-003
2.006811401031513e+000	-1.594117e+000	1.149854e+003	-1.386364e-003
2.018011401031885e+000	-1.551557e+000	1.287678e+003	-1.204926e-003
2.029211401032256e+000	-1.508997e+000	1.440941e+003	-1.047230e-003
2.040411401032628e+000	-1.466437e+000	1.611170e+003	-9.101689e-004
2.042011401032681e+000	-1.460357e+000	1.636967e+003	-8.921112e-004
2.053211401033053e+000	-1.417797e+000	1.828595e+003	-7.753476e-004
2.064411401033425e+000	-1.375237e+000	2.040828e+003	-6.738619e-004
2.075611401033797e+000	-1.332677e+000	2.275534e+003	-5.856544e-004
2.086811401034169e+000	-1.290117e+000	2.534676e+003	-5.089869e-004
2.098011401034540e+000	-1.247557e+000	2.820301e+003	-4.423488e-004
2.109211401034912e+000	-1.204997e+000	3.134527e+003	-3.844270e-004
2.120411401035284e+000	-1.162437e+000	3.479515e+003	-3.340801e-004
2.131611401035656e+000	-1.119877e+000	3.857439e+003	-2.903161e-004
2.142811401036028e+000	-1.077317e+000	4.270445e+003	-2.522727e-004
2.144411401036081e+000	-1.071237e+000	4.332432e+003	-2.472599e-004
2.155611401036452e+000	-1.028677e+000	4.788056e+003	-2.148422e-004
2.166811401036824e+000	-9.861166e-001	5.283016e+003	-1.866579e-004
2.178111401037199e+000	-9.431767e-001	5.823953e+003	-1.619479e-004
2.189411401037575e+000	-9.002367e-001	6.408005e+003	-1.404863e-004
2.200711401037950e+000	-8.572967e-001	7.036099e+003	-1.218426e-004
2.212011401038325e+000	-8.143567e-001	7.708575e+003	-1.056430e-004
2.223311401038700e+000	-7.714167e-001	8.425042e+003	-9.156235e-005
2.234611401039075e+000	-7.284767e-001	9.184213e+003	-7.931836e-005
2.245911401039450e+000	-6.855367e-001	9.983731e+003	-6.866538e-005
2.246811401039480e+000	-6.821167e-001	1.004905e+004	-6.787875e-005
2.258111401039855e+000	-6.391767e-001	1.088804e+004	-5.870446e-005
2.269411401040230e+000	-5.962367e-001	1.175831e+004	-5.070769e-005
2.280711401040605e+000	-5.532967e-001	1.265313e+004	-4.372805e-005
2.292011401040980e+000	-5.103567e-001	1.356410e+004	-3.762554e-005
2.303311401041356e+000	-4.674167e-001	1.448109e+004	-3.227774e-005
2.314611401041731e+000	-4.244767e-001	1.539220e+004	-2.757739e-005
2.325911401042106e+000	-3.815367e-001	1.628397e+004	-2.343019e-005
2.337211401042481e+000	-3.385967e-001	1.714155e+004	-1.975298e-005
2.348611401042859e+000	-2.952767e-001	1.795594e+004	-1.644451e-005
2.349211401042879e+000	-2.929967e-001	1.799707e+004	-1.628024e-005
2.360611401043258e+000	-2.496767e-001	1.873966e+004	-1.332344e-005
2.372011401043636e+000	-2.063567e-001	1.939690e+004	-1.063864e-005
2.383511401044018e+000	-1.626567e-001	1.995737e+004	-8.150206e-006
2.395011401044400e+000	-1.189567e-001	2.040039e+004	-5.831098e-006
2.400030000000015e+000	-1.001140e-001	2.055207e+004	-4.871237e-006
2.411650000000392e+000	-1.442700e-001	2.015884e+004	-7.156661e-006
2.423150000000774e+000	-1.879700e-001	1.964615e+004	-9.567779e-006
2.434550000001153e+000	-2.312900e-001	1.902999e+004	-1.215397e-005
2.445950000001531e+000	-2.746100e-001	1.832162e+004	-1.498830e-005
2.451350000001710e+000	-2.951300e-001	1.795859e+004	-1.643392e-005
2.462750000002089e+000	-3.384500e-001	1.714440e+004	-1.974114e-005
2.474050000002464e+000	-3.813900e-001	1.628697e+004	-2.341688e-005
2.485350000002839e+000	-4.243300e-001	1.539529e+004	-2.756233e-005
2.496650000003214e+000	-4.672700e-001	1.448421e+004	-3.226064e-005
2.507950000003589e+000	-5.102100e-001	1.356723e+004	-3.760605e-005
2.519250000003964e+000	-5.531500e-001	1.265622e+004	-4.370579e-005
2.530550000004340e+000	-5.960900e-001	1.176133e+004	-5.068220e-005
2.541850000004715e+000	-6.390300e-001	1.089097e+004	-5.867523e-005
2.553150000005090e+000	-6.819700e-001	1.005185e+004	-6.784521e-005
2.553750000005110e+000	-6.842500e-001	1.000828e+004	-6.836840e-005
2.565050000005485e+000	-7.271900e-001	9.207598e+003	-7.897717e-005
2.576350000005860e+000	-7.701300e-001	8.447178e+003	-9.117009e-005
2.587650000006235e+000	-8.130700e-001	7.729408e+003	-1.051918e-004
2.598950000006610e+000	-8.560100e-001	7.055604e+003	-1.213234e-004
2.610250000006985e+000	-8.989500e-001	6.426182e+003	-1.398887e-004
2.621550000007360e+000	-9.418900e-001	5.840821e+003	-1.612599e-004
2.632850000007736e+000	-9.848300e-001	5.298610e+003	-1.858657e-004
2.644050000008107e+000	-1.027390e+000	4.802434e+003	-2.139311e-004
2.655250000008479e+000	-1.069950e+000	4.345648e+003	-2.462119e-004
2.656150000008509e+000	-1.073370e+000	4.310595e+003	-2.490074e-004
2.667350000008881e+000	-1.115930e+000	3.894229e+003	-2.865599e-004
2.678550000009253e+000	-1.158490e+000	3.513142e+003	-3.297590e-004
2.689750000009624e+000	-1.201050e+000	3.165191e+003	-3.794558e-004
2.700950000009996e+000	-1.243610e+000	2.848204e+003	-4.366296e-004
2.712150000010368e+000	-1.286170e+000	2.560016e+003	-5.024070e-004
2.723350000010740e+000	-1.328730e+000	2.298506e+003	-5.780841e-004
2.734550000011112e+000	-1.371290e+000	2.061618e+003	-6.651522e-004
2.745750000011483e+000	-1.413850e+000	1.847381e+003	-7.653267e-004
2.756950000011855e+000	-1.456410e+000	1.653918e+003	-8.805817e-004
2.758550000011908e+000	-1.462490e+000	1.627872e+003	-8.984061e-004
2.769750000012280e+000	-1.505050e+000	1.455989e+003	-1.033696e-003
2.780950000012652e+000	-1.547610e+000	1.301219e+003	-1.189354e-003
