time	V(pre)	R1	Ix(U1:TE)	R2	R3	R4
0.000000000000000e+000	1.000000e+000	1.558241e+002	6.417492e-003	1.558241e+002	1.558241e+002	1.558241e+002
1.018400617501527e-001	1.000000e+000	1.558242e+002	6.417487e-003	1.558242e+002	1.558242e+002	1.558242e+002
2.042400617535520e-001	1.000000e+000	1.558244e+002	6.417481e-003	1.558244e+002	1.558244e+002	1.558244e+002
3.066400617569514e-001	1.000000e+000	1.558245e+002	6.417476e-003	1.558245e+002	1.558245e+002	1.558245e+002
4.090400617603507e-001	1.000000e+000	1.558246e+002	6.417470e-003	1.558246e+002	1.558246e+002	1.558246e+002
5.114400617637500e-001	1.000000e+000	1.558248e+002	6.417464e-003	1.558248e+002	1.558248e+002	1.558248e+002
6.138400617671493e-001	1.000000e+000	1.558249e+002	6.417458e-003	1.558249e+002	1.558249e+002	1.558249e+002
7.162400617705487e-001	1.000000e+000	1.558251e+002	6.417453e-003	1.558251e+002	1.558251e+002	1.558251e+002
8.186400617739480e-001	1.000000e+000	1.558252e+002	6.417448e-003	1.558252e+002	1.558252e+002	1.558252e+002
9.210400617773473e-001	1.000000e+000	1.558253e+002	6.417442e-003	1.558253e+002	1.558253e+002	1.558253e+002
1.000000000000000e+000	1.000000e+000	1.558254e+002	6.417438e-003	1.558254e+002	1.558254e+002	1.558254e+002
1.000000099999994e+000	6.100000e-001	2.359617e+002	2.585165e-003	2.359617e+002	2.359617e+002	2.359617e+002
1.000000299999996e+000	-1.700000e-001	4.826618e+001	-3.522134e-003	4.826618e+001	4.826618e+001	4.826618e+001
1.000000700000001e+000	-1.730000e+000	5.861551e+000	-2.951437e-001	5.861551e+000	5.861551e+000	5.861551e+000
1.000000999999998e+000	-2.900000e+000	2.919781e+000	-9.932252e-001	2.919781e+000	2.919781e+000	2.919781e+000
1.000001080000004e+000	-2.988000e+000	2.166309e+000	-1.379304e+000	2.166309e+000	2.166309e+000	2.166309e+000
1.000001240000003e+000	-3.164000e+000	1.123744e+000	-2.815587e+000	1.123744e+000	1.123744e+000	1.123744e+000
1.000001560000001e+000	-3.516000e+000	3.029032e-001	-1.160767e+001	3.029032e-001	3.029032e-001	3.029032e-001
1.000001999999995e+000	-4.000000e+000	1.153358e-001	-3.468134e+001	1.153358e-001	1.153358e-001	1.153358e-001
1.000002064000000e+000	-4.000000e+000	1.153358e-001	-3.468133e+001	1.153358e-001	1.153358e-001	1.153358e-001
