time	V(pre)	V(pre)/Ix(U1:TE)	Ix(U1:TE)
0.000000000000000e+000	1.000000e+000	1.558241e+002	6.417492e-003
1.017400617501494e-001	1.000000e+000	1.558242e+002	6.417487e-003
2.041400617535487e-001	1.000000e+000	1.558244e+002	6.417481e-003
3.065400617569480e-001	1.000000e+000	1.558245e+002	6.417476e-003
4.089400617603474e-001	1.000000e+000	1.558246e+002	6.417470e-003
5.113400617637467e-001	1.000000e+000	1.558248e+002	6.417464e-003
6.137400617671460e-001	1.000000e+000	1.558249e+002	6.417459e-003
7.161400617705453e-001	1.000000e+000	1.558251e+002	6.417453e-003
8.185400617739447e-001	1.000000e+000	1.558252e+002	6.417448e-003
9.209400617773440e-001	1.000000e+000	1.558253e+002	6.417442e-003
1.000000000000000e+000	1.000000e+000	1.558254e+002	6.417438e-003
1.000000099999994e+000	6.100000e-001	2.359617e+002	2.585165e-003
1.000000299999996e+000	-1.700000e-001	4.826618e+001	-3.522134e-003
1.000000700000001e+000	-1.730000e+000	5.861551e+000	-2.951437e-001
1.000000999999998e+000	-2.900000e+000	2.919781e+000	-9.932252e-001
1.000001080000004e+000	-2.988000e+000	2.166309e+000	-1.379304e+000
1.000001240000003e+000	-3.164000e+000	1.123744e+000	-2.815587e+000
1.000001560000001e+000	-3.516000e+000	3.029032e-001	-1.160767e+001
1.000001999999995e+000	-4.000000e+000	1.153358e-001	-3.468134e+001
1.000002064000000e+000	-4.000000e+000	1.153358e-001	-3.468133e+001
1.000003983999989e+000	-4.000000e+000	1.153360e-001	-3.468129e+001
1.020133008000329e+000	-4.000000e+000	1.168115e-001	-3.424320e+001
1.122533008003728e+000	-4.000000e+000	1.249433e-001	-3.201453e+001
1.224933008007128e+000	-4.000000e+000	1.342919e-001	-2.978586e+001
1.327333008010527e+000	-4.000000e+000	1.451526e-001	-2.755720e+001
1.429733008013926e+000	-4.000000e+000	1.579247e-001	-2.532853e+001
1.532133008017325e+000	-4.000000e+000	1.731612e-001	-2.309986e+001
1.634533008020725e+000	-4.000000e+000	1.916517e-001	-2.087120e+001
1.736933008024124e+000	-4.000000e+000	2.145631e-001	-1.864253e+001
1.839333008027523e+000	-4.000000e+000	2.436964e-001	-1.641386e+001
1.941733008030923e+000	-4.000000e+000	2.819841e-001	-1.418520e+001
2.000000999999998e+000	-4.000000e+000	3.096686e-001	-1.291703e+001
2.000001099999992e+000	-3.610000e+000	5.834261e-001	-6.187588e+000
2.000001299999994e+000	-2.830000e+000	2.066119e+000	-1.369718e+000
2.000001699999999e+000	-1.270000e+000	1.977691e+001	-6.421631e-002
2.000001999999995e+000	-1.000000e-001	4.795136e+003	-2.085447e-005
2.042765760000989e+000	-1.000000e-001	4.795137e+003	-2.085446e-005
2.145165760004389e+000	-1.000000e-001	4.795137e+003	-2.085446e-005
2.247565760007788e+000	-1.000000e-001	4.795137e+003	-2.085446e-005
2.349965760011187e+000	-1.000000e-001	4.795137e+003	-2.085446e-005
2.400000000000006e+000	-1.000000e-001	4.795137e+003	-2.085447e-005
2.400000100000000e+000	-4.900000e-001	1.224810e+003	-4.000621e-004
2.400000300000002e+000	-1.270000e+000	2.529707e+001	-5.020345e-002
2.400000700000007e+000	-2.830000e+000	7.372521e-001	-3.838578e+000
2.400001000000003e+000	-4.000000e+000	3.096689e-001	-1.291702e+001
2.450564760001257e+000	-4.000000e+000	3.385087e-001	-1.181654e+001
2.552964760004656e+000	-4.000000e+000	4.171938e-001	-9.587870e+000
2.607164760006455e+000	-4.000000e+000	4.757236e-001	-8.408243e+000
2.655364760008055e+000	-4.000000e+000	5.379972e-001	-7.434983e+000
2.707264760009778e+000	-4.000000e+000	6.120250e-001	-6.535681e+000
2.757764760011455e+000	-4.000000e+000	6.917708e-001	-5.782262e+000
2.813064760013290e+000	-4.000000e+000	7.888343e-001	-5.070774e+000
2.860164760014854e+000	-4.000000e+000	8.804218e-001	-4.543277e+000
2.918164760016779e+000	-4.000000e+000	1.005782e+000	-3.977007e+000
2.962564760018253e+000	-4.000000e+000	1.112131e+000	-3.596699e+000
3.022764760020252e+000	-4.000000e+000	1.272385e+000	-3.143703e+000
3.064964760021653e+000	-4.000000e+000	1.396892e+000	-2.863499e+000
3.126964760023711e+000	-4.000000e+000	1.600147e+000	-2.499770e+000
3.167364760025052e+000	-4.000000e+000	1.746937e+000	-2.289721e+000
3.230864760027160e+000	-4.000000e+000	2.003237e+000	-1.996768e+000
3.269764760028451e+000	-4.000000e+000	2.177238e+000	-1.837190e+000
3.334464760030599e+000	-4.000000e+000	2.498617e+000	-1.600886e+000
3.372164760031851e+000	-4.000000e+000	2.706115e+000	-1.478134e+000
