Time	Voltage Current
665.518	1	0.009546377
665.818	0.98	0.009181508
666.121	0.96	0.008817639
666.425	0.94	0.00845778
666.737	0.92	0.008099673
667.045	0.9	0.007743089
667.345	0.88	0.00738698
667.65	0.86	0.007036162
667.953	0.84	0.006685764
668.258	0.82	0.006337061
668.562	0.8	0.005994004
668.866	0.78	0.005652513
669.17	0.76	0.00531389
669.474	0.74	0.00498059
669.778	0.72	0.00464961
670.083	0.7	0.00432235
670.386	0.68	0.004000231
670.69	0.66	0.003681408
670.994	0.64	0.003368724
671.299	0.62	0.00306179
671.602	0.6	0.002759679
671.906	0.58	0.002464959
672.211	0.56	0.002177996
672.514	0.54	0.001899263
672.819	0.52	0.001631439
673.122	0.5	0.001374563
673.427	0.48	0.001132019
673.732	0.46	9.059162E-4
674.132	0.44	6.993469E-4
674.433	0.42	5.164044E-4
674.737	0.4	3.60837E-4
675.041	0.38	2.366931E-4
675.345	0.36	1.450267E-4
675.649	0.34	8.32858E-5
676.046	0.32	4.542443E-5
676.351	0.3	2.393604E-5
676.654	0.28	1.237627E-5
676.959	0.26	6.372888E-6
677.367	0.24	3.309596E-6
677.667	0.22	1.750465E-6
677.973	0.2	9.530731E-7
678.381	0.18	5.441163E-7
678.687	0.16	3.243876E-7
679.001	0.14	2.017584E-7
679.304	0.12	1.311889E-7
679.618	0.1	8.804684E-8
679.921	0.08	5.884529E-8
680.235	0.06	3.791296E-8
680.537	0.04	2.296497E-8
680.843	0.02	1.070427E-8
681.149	-6.17562E-16	-1.766999E-10
681.457	-0.02	-1.068018E-8
681.762	-0.04	-2.132683E-8
682.069	-0.06	-3.439327E-8
682.375	-0.08	-4.769666E-8
682.688	-0.1	-6.496072E-8
682.991	-0.12	-8.341616E-8
683.305	-0.14	-1.032989E-7
683.61	-0.16	-1.275538E-7
683.924	-0.18	-1.607142E-7
684.228	-0.2	-1.943259E-7
684.533	-0.22	-2.344969E-7
684.841	-0.24	-2.775609E-7
685.148	-0.26	-3.301001E-7
685.456	-0.28	-3.806283E-7
685.762	-0.3	-4.386826E-7
686.069	-0.32	-5.169678E-7
686.377	-0.34	-5.847732E-7
686.683	-0.36	-6.724628E-7
686.997	-0.38	-7.793075E-7
687.3	-0.4	-8.820206E-7
687.607	-0.42	-9.881986E-7
687.921	-0.44	-1.128916E-6
688.418	-0.46	-1.219538E-6
688.727	-0.48	-1.380382E-6
689.028	-0.5	-1.571944E-6
689.331	-0.52	-1.716288E-6
689.634	-0.54	-1.851251E-6
689.939	-0.56	-2.072517E-6
690.243	-0.58	-2.301615E-6
690.547	-0.6	-2.556613E-6
690.852	-0.62	-2.841625E-6
691.156	-0.64	-3.071758E-6
691.461	-0.66	-3.305002E-6
691.765	-0.68	-3.703994E-6
692.07	-0.7	-4.077734E-6
692.374	-0.72	-4.46804E-6
692.68	-0.74	-4.788113E-6
692.983	-0.76	-5.06875E-6
693.29	-0.78	-5.180241E-6
693.592	-0.8	-5.527332E-6
693.895	-0.82	-5.989315E-6
694.2	-0.84	-6.232222E-6
694.505	-0.86	-6.657235E-6
694.808	-0.88	-7.139657E-6
695.112	-0.9	-7.685998E-6
695.417	-0.92	-8.084559E-6
695.728	-0.94	-8.522273E-6
696.03	-0.96	-8.943484E-6
696.335	-0.98	-9.52418E-6
696.641	-1	-9.971979E-6
696.945	-1.02	-1.038152E-5
697.444	-1.04	-1.090373E-5
697.752	-1.06	-1.146551E-5
698.052	-1.08	-1.182622E-5
698.357	-1.1	-1.244793E-5
698.661	-1.12	-1.301349E-5
698.965	-1.14	-1.36933E-5
699.269	-1.16	-1.405689E-5
699.573	-1.18	-1.485174E-5
699.877	-1.2	-1.514176E-5
700.181	-1.22	-1.570906E-5
700.492	-1.24	-1.616737E-5
700.793	-1.26	-1.654307E-5
701.105	-1.28	-1.746708E-5
701.408	-1.3	-1.813451E-5
701.712	-1.32	-1.856249E-5
702.016	-1.34	-1.919636E-5
702.32	-1.36	-1.969875E-5
702.624	-1.38	-2.002424E-5
702.928	-1.4	-2.069474E-5
703.231	-1.42	-2.133876E-5
703.536	-1.44	-2.183923E-5
703.841	-1.46	-2.242997E-5
704.144	-1.48	-2.270759E-5
704.448	-1.5	-2.322723E-5
704.753	-1.52	-2.403957E-5
705.064	-1.54	-2.450761E-5
705.364	-1.56	-2.522138E-5
705.668	-1.58	-2.578875E-5
705.973	-1.6	-2.639008E-5
706.278	-1.62	-2.683901E-5
706.582	-1.64	-2.703824E-5
706.886	-1.66	-2.741044E-5
707.19	-1.68	-2.737159E-5
707.494	-1.7	-2.803117E-5
707.799	-1.72	-2.877233E-5
708.105	-1.74	-2.922935E-5
708.41	-1.76	-2.977827E-5
708.722	-1.78	-3.000015E-5
709.022	-1.8	-3.035394E-5
709.327	-1.82	-3.067937E-5
709.632	-1.84	-3.143766E-5
709.935	-1.86	-3.210087E-5
710.239	-1.88	-3.210827E-5
710.543	-1.9	-3.245699E-5
710.847	-1.92	-3.309794E-5
711.151	-1.94	-3.337782E-5
711.455	-1.96	-3.380143E-5
711.778	-1.98	-3.422204E-5
712.078	-2	-3.442768E-5
712.383	-2	-3.334787E-5
712.685	-1.98	-3.129419E-5
712.989	-1.96	-2.974173E-5
713.293	-1.94	-2.819828E-5
713.599	-1.92	-2.632575E-5
713.902	-1.9	-2.502755E-5
714.206	-1.88	-2.374768E-5
714.51	-1.86	-2.27932E-5
714.814	-1.84	-2.133032E-5
715.118	-1.82	-2.026968E-5
715.422	-1.8	-1.916551E-5
715.726	-1.78	-1.780046E-5
716.031	-1.76	-1.682649E-5
716.335	-1.74	-1.574963E-5
716.64	-1.72	-1.501105E-5
716.944	-1.7	-1.409122E-5
717.248	-1.68	-1.312962E-5
717.553	-1.66	-1.221664E-5
717.857	-1.64	-1.153618E-5
718.161	-1.62	-1.090686E-5
718.465	-1.6	-1.005859E-5
718.865	-1.58	-9.305163E-6
719.17	-1.56	-8.703869E-6
719.474	-1.54	-8.110602E-6
719.778	-1.52	-7.482597E-6
720.081	-1.5	-6.894422E-6
720.386	-1.48	-6.325809E-6
720.691	-1.46	-5.840265E-6
720.994	-1.44	-5.370684E-6
721.298	-1.42	-4.904674E-6
721.602	-1.4	-4.40199E-6
721.906	-1.38	-4.040913E-6
722.211	-1.36	-3.722384E-6
722.514	-1.34	-3.34468E-6
722.819	-1.32	-3.041609E-6
723.123	-1.3	-2.726179E-6
723.427	-1.28	-2.438568E-6
723.731	-1.26	-2.185521E-6
724.035	-1.24	-1.994367E-6
724.339	-1.22	-1.756568E-6
724.643	-1.2	-1.561762E-6
724.947	-1.18	-1.377302E-6
725.251	-1.16	-1.22083E-6
725.555	-1.14	-1.070487E-6
725.86	-1.12	-9.533636E-7
726.273	-1.1	-8.390999E-7
726.577	-1.08	-7.620264E-7
726.883	-1.06	-6.744135E-7
727.19	-1.04	-5.85027E-7
727.495	-1.02	-5.094319E-7
727.801	-1	-4.356675E-7
728.107	-0.98	-3.694241E-7
728.414	-0.96	-3.285883E-7
728.72	-0.94	-2.91038E-7
729.026	-0.92	-2.399462E-7
729.341	-0.9	-2.073587E-7
729.644	-0.88	-1.767802E-7
729.952	-0.86	-1.498151E-7
730.258	-0.84	-1.277318E-7
730.572	-0.82	-1.091981E-7
730.875	-0.8	-9.258255E-8
731.181	-0.78	-7.729797E-8
731.489	-0.76	-6.869986E-8
731.803	-0.74	-5.714094E-8
732.106	-0.72	-4.804596E-8
732.42	-0.7	-4.197333E-8
732.723	-0.68	-3.496632E-8
733.029	-0.66	-3.017741E-8
733.336	-0.64	-2.564589E-8
733.642	-0.62	-2.16506E-8
733.948	-0.6	-1.81763E-8
