Time	Voltage 	Current
1059.394	1	0.009546758
1059.694	0.98	0.009183284
1059.998	0.96	0.008819536
1060.309	0.94	0.00845719
1060.611	0.92	0.00809957
1060.914	0.9	0.007743511
1061.219	0.88	0.007388361
1061.523	0.86	0.007036023
1061.826	0.84	0.006684977
1062.131	0.82	0.006338375
1062.435	0.8	0.005994675
1062.738	0.78	0.00565291
1063.043	0.76	0.005314837
1063.347	0.74	0.004981428
1063.65	0.72	0.004649546
1063.955	0.7	0.004323996
1064.259	0.68	0.004000598
1064.562	0.66	0.003683035
1064.866	0.64	0.003369455
1065.172	0.62	0.003061508
1065.474	0.6	0.002760322
1065.779	0.58	0.00246598
1066.083	0.56	0.002178408
1066.387	0.54	0.001900396
1066.69	0.52	0.001631849
1066.995	0.5	0.00137526
1067.298	0.48	0.001132243
1067.603	0.46	9.066051E-4
1068.003	0.44	6.998106E-4
1068.305	0.42	5.16694E-4
1068.609	0.4	3.610842E-4
1068.913	0.38	2.369052E-4
1069.217	0.36	1.451672E-4
1069.521	0.34	8.338886E-5
1069.925	0.32	4.548498E-5
1070.226	0.3	2.394897E-5
1070.53	0.28	1.238135E-5
1070.835	0.26	6.37207E-6
1071.244	0.24	3.301123E-6
1071.553	0.22	1.742444E-6
1071.856	0.2	9.512616E-7
1072.263	0.18	5.377612E-7
1072.57	0.16	3.171386E-7
1072.883	0.14	1.951416E-7
1073.187	0.12	1.269669E-7
1073.493	0.1	8.401229E-8
1073.798	0.08	5.645202E-8
1074.105	0.06	3.673561E-8
1074.41	0.04	2.167944E-8
1074.717	0.02	1.019997E-8
1075.023	-6.17562E-16	-1.843682E-10
1075.331	-0.02	-9.760252E-9
1075.637	-0.04	-1.946E-8
1075.943	-0.06	-2.940006E-8
1076.257	-0.08	-4.206736E-8
1076.56	-0.1	-5.593557E-8
1076.866	-0.12	-7.167016E-8
1077.173	-0.14	-8.887859E-8
1077.48	-0.16	-1.08138E-7
1077.786	-0.18	-1.279744E-7
1078.093	-0.2	-1.537881E-7
1078.399	-0.22	-1.868638E-7
1078.707	-0.24	-2.155372E-7
1079.014	-0.26	-2.464016E-7
1079.32	-0.28	-2.804552E-7
1079.627	-0.3	-3.246935E-7
1079.933	-0.32	-3.734844E-7
1080.239	-0.34	-4.446072E-7
1080.546	-0.36	-5.149395E-7
1080.852	-0.38	-6.028351E-7
1081.158	-0.4	-6.799617E-7
1081.471	-0.42	-7.873986E-7
1081.776	-0.44	-8.770468E-7
1082.083	-0.46	-9.965974E-7
1082.396	-0.48	-1.061056E-6
1082.885	-0.5	-1.203257E-6
1083.19	-0.52	-1.347796E-6
1083.493	-0.54	-1.519411E-6
1083.797	-0.56	-1.676205E-6
1084.101	-0.58	-1.855447E-6
1084.405	-0.6	-2.056211E-6
1084.709	-0.62	-2.277297E-6
1085.013	-0.64	-2.482141E-6
1085.317	-0.66	-2.743176E-6
1085.621	-0.68	-2.99348E-6
1085.925	-0.7	-3.274145E-6
1086.229	-0.72	-3.563488E-6
1086.533	-0.74	-3.829193E-6
1086.837	-0.76	-4.079185E-6
1087.141	-0.78	-4.404643E-6
1087.445	-0.8	-4.823163E-6
1087.749	-0.82	-5.242609E-6
1088.053	-0.84	-5.593768E-6
1088.357	-0.86	-5.873122E-6
1088.662	-0.88	-6.259229E-6
1088.966	-0.9	-6.712624E-6
