V1,I1,absI
2,0.0599,0.0599
1.99,0.059264,0.059264
1.98,0.058722,0.058722
1.97,0.058224,0.058224
1.96,0.057742,0.057742
1.95,0.057214,0.057214
1.94,0.05671,0.05671
1.93,0.056204,0.056204
1.92,0.055706,0.055706
1.91,0.055206,0.055206
1.9,0.054756,0.054756
1.89,0.054268,0.054268
1.88,0.053788,0.053788
1.87,0.053292,0.053292
1.86,0.052804,0.052804
1.85,0.052326,0.052326
1.84,0.05183,0.05183
1.83,0.051342,0.051342
1.82,0.050854,0.050854
1.81,0.050376,0.050376
1.8,0.049896,0.049896
1.79,0.04942,0.04942
1.78,0.048944,0.048944
1.77,0.04847,0.04847
1.76,0.04799,0.04799
1.75,0.047516,0.047516
1.74,0.047046,0.047046
1.73,0.046574,0.046574
1.72,0.0461,0.0461
1.71,0.045636,0.045636
1.7,0.045174,0.045174
1.69,0.044692,0.044692
1.68,0.044224,0.044224
1.67,0.043762,0.043762
1.66,0.0433,0.0433
1.65,0.042826,0.042826
1.64,0.042362,0.042362
1.63,0.041904,0.041904
1.62,0.041446,0.041446
1.61,0.040986,0.040986
1.6,0.040534,0.040534
1.59,0.040076,0.040076
1.58,0.039622,0.039622
1.57,0.039166,0.039166
1.56,0.038718,0.038718
1.55,0.038268,0.038268
1.54,0.037818,0.037818
1.53,0.03737,0.03737
1.52,0.036932,0.036932
1.51,0.036486,0.036486
1.5,0.036038,0.036038
1.49,0.035596,0.035596
1.48,0.035152,0.035152
1.47,0.034716,0.034716
1.46,0.03428,0.03428
1.45,0.033842,0.033842
1.44,0.03341,0.03341
1.43,0.03298,0.03298
1.42,0.032548,0.032548
1.41,0.032126,0.032126
1.4,0.03188,0.03188
1.39,0.031462,0.031462
1.38,0.03103,0.03103
1.37,0.030612,0.030612
1.36,0.030186,0.030186
1.35,0.02977,0.02977
1.34,0.02934,0.02934
1.33,0.028916,0.028916
1.32,0.028498,0.028498
1.31,0.028084,0.028084
1.3,0.027664,0.027664
1.29,0.027252,0.027252
1.28,0.026846,0.026846
1.27,0.02643,0.02643
1.26,0.026028,0.026028
1.25,0.025624,0.025624
1.24,0.025212,0.025212
1.23,0.024816,0.024816
1.22,0.024418,0.024418
1.21,0.024014,0.024014
1.2,0.023618,0.023618
1.19,0.023224,0.023224
1.18,0.022828,0.022828
1.17,0.022436,0.022436
1.16,0.02204,0.02204
1.15,0.021646,0.021646
1.14,0.021266,0.021266
1.13,0.020882,0.020882
1.12,0.020488,0.020488
1.11,0.020112,0.020112
1.1,0.019734,0.019734
1.09,0.019354,0.019354
1.08,0.018978,0.018978
1.07,0.018608,0.018608
1.06,0.018232,0.018232
1.05,0.017868,0.017868
1.04,0.017502,0.017502
1.03,0.017134,0.017134
1.02,0.016774,0.016774
1.01,0.016418,0.016418
1,0.016052,0.016052
0.99,0.0157,0.0157
0.98,0.015348,0.015348
0.97,0.014992,0.014992
0.96,0.014646,0.014646
0.95,0.014304,0.014304
0.94,0.013956,0.013956
0.93,0.013616,0.013616
0.92,0.01328,0.01328
0.91,0.01294,0.01294
0.9,0.012606,0.012606
0.89,0.012276,0.012276
0.88,0.011942,0.011942
0.87,0.011614,0.011614
