V1,I1
2,0.033694
1.99,0.033822
1.98,0.033802
1.97,0.033696
1.96,0.033546
1.95,0.033374
1.94,0.033174
1.93,0.032962
1.92,0.03274
1.91,0.03251
1.9,0.032272
1.89,0.032022
1.88,0.031782
1.87,0.031528
1.86,0.031274
1.85,0.031018
1.84,0.03076
1.83,0.030498
1.82,0.030238
1.81,0.029972
1.8,0.029706
1.79,0.029446
1.78,0.029174
1.77,0.02891
1.76,0.028644
1.75,0.028378
1.74,0.028104
1.73,0.027838
1.72,0.02757
1.71,0.027304
1.7,0.027032
1.69,0.026764
1.68,0.026498
1.67,0.026232
1.66,0.02596
1.65,0.025692
1.64,0.025426
1.63,0.025154
1.62,0.024888
1.61,0.024622
1.6,0.024354
1.59,0.024084
1.58,0.023818
1.57,0.023552
1.56,0.023288
1.55,0.02302
1.54,0.022754
1.53,0.02249
1.52,0.022224
1.51,0.021962
1.5,0.0217
1.49,0.021432
1.48,0.021172
1.47,0.02091
1.46,0.020646
1.45,0.020388
1.44,0.020128
1.43,0.019864
1.42,0.019606
1.41,0.019352
1.4,0.019088
1.39,0.018834
1.38,0.018578
1.37,0.018322
1.36,0.018066
1.35,0.017814
1.34,0.017558
1.33,0.017304
1.32,0.017054
1.31,0.0168
1.3,0.016552
1.29,0.016304
1.28,0.016052
1.27,0.015802
1.26,0.015558
1.25,0.01531
1.24,0.015064
1.23,0.014822
1.22,0.014574
1.21,0.014334
1.2,0.014096
1.19,0.01385
1.18,0.01361
1.17,0.013376
1.16,0.013138
1.15,0.012898
1.14,0.012666
1.13,0.012428
1.12,0.012196
1.11,0.011966
1.1,0.011734
1.09,0.011502
1.08,0.011274
1.07,0.011046
1.06,0.01081
1.05,0.010586
1.04,0.010364
1.03,0.01014
1.02,0.0099064
1.01,0.0096904
1,0.00947
0.99,0.0092552
0.98,0.0090412
0.97,0.008824
0.96,0.0086124
0.95,0.0084018
0.94,0.0081894
0.93,0.0079814
0.92,0.0077754
0.91,0.007567
0.9,0.0073638
0.89,0.0071622
0.88,0.0069584
0.87,0.00676
0.86,0.006563
0.85,0.006364
0.84,0.0061706
0.83,0.0059792
