V1,I1,absI
1,0.01263,0.01263
0.99,0.012406,0.012406
0.98,0.012162,0.012162
0.97,0.01191,0.01191
0.96,0.011654,0.011654
0.95,0.011394,0.011394
0.94,0.011134,0.011134
0.93,0.01087,0.01087
0.92,0.01061,0.01061
0.91,0.01035,0.01035
0.9,0.010088,0.010088
0.89,0.0098446,0.0098446
0.88,0.0095856,0.0095856
0.87,0.0093268,0.0093268
0.86,0.0090704,0.0090704
0.85,0.0088144,0.0088144
0.84,0.0085604,0.0085604
0.83,0.0083076,0.0083076
0.82,0.0080568,0.0080568
0.81,0.007808,0.007808
0.8,0.0075622,0.0075622
0.79,0.0073156,0.0073156
0.78,0.0070728,0.0070728
0.77,0.0068316,0.0068316
0.76,0.0065928,0.0065928
0.75,0.006356,0.006356
0.74,0.0061204,0.0061204
0.73,0.0058882,0.0058882
0.72,0.0056576,0.0056576
0.71,0.0054294,0.0054294
0.7,0.0052036,0.0052036
0.69,0.0049824,0.0049824
0.68,0.0047618,0.0047618
0.67,0.0045434,0.0045434
0.66,0.004328,0.004328
0.65,0.0041152,0.0041152
0.64,0.0039062,0.0039062
0.63,0.0036998,0.0036998
0.62,0.0034966,0.0034966
0.61,0.0032968,0.0032968
0.6,0.0031002,0.0031002
0.59,0.0029078,0.0029078
0.58,0.0027192,0.0027192
0.57,0.0025346,0.0025346
0.56,0.0023544,0.0023544
0.55,0.0021798,0.0021798
0.54,0.0020096,0.0020096
0.53,0.0018446,0.0018446
0.52,0.001686,0.001686
0.51,0.0015338,0.0015338
0.5,0.0013866,0.0013866
0.49,0.001248,0.001248
0.48,0.0011168,0.0011168
0.47,0.00099012,0.00099012
0.46,0.00087626,0.00087626
0.45,0.0007697,0.0007697
0.44,0.00067194,0.00067194
0.43,0.0005826,0.0005826
0.42,0.00050154,0.00050154
0.41,0.00042926,0.00042926
0.4,0.00036466,0.00036466
0.39,0.00030828,0.00030828
0.38,0.00025914,0.00025914
0.37,0.00021652,0.00021652
0.36,0.0001799,0.0001799
0.35,0.00014878,0.00014878
0.34,0.00012262,0.00012262
0.33,0.00010056,0.00010056
0.32,8.1246E-05,8.1246E-05
0.31,6.6508E-05,6.6508E-05
0.3,5.422E-05,5.422E-05
0.29,4.3922E-05,4.3922E-05
0.28,3.5704E-05,3.5704E-05
0.27,2.8898E-05,2.8898E-05
0.26,2.3294E-05,2.3294E-05
0.25,1.879E-05,1.879E-05
0.24,1.514E-05,1.514E-05
0.23,1.2172E-05,1.2172E-05
0.22,9.6057E-06,9.6057E-06
0.21,7.71E-06,7.71E-06
0.2,6.1847E-06,6.1847E-06
0.19,4.9595E-06,4.9595E-06
0.18,3.9609E-06,3.9609E-06
0.17,3.168E-06,3.168E-06
0.16,2.5283E-06,2.5283E-06
0.15,2.0147E-06,2.0147E-06
0.14,1.6054E-06,1.6054E-06
0.13,1.2743E-06,1.2743E-06
0.12,9.992E-07,9.992E-07
0.11,7.7824E-07,7.7824E-07
0.1,6.1948E-07,6.1948E-07
0.09,4.8882E-07,4.8882E-07
0.08,3.8344E-07,3.8344E-07
0.07,2.9916E-07,2.9916E-07
0.06,2.297E-07,2.297E-07
0.05,1.7298E-07,1.7298E-07
0.04,1.2684E-07,1.2684E-07
0.03,8.59402E-08,8.59402E-08
0.02,5.36302E-08,5.36302E-08
0.01,2.50486E-08,2.50486E-08
0,1.7293E-10,1.7293E-10
-0.01,-2.14634E-08,2.14634E-08
-0.02,-4.274E-08,4.274E-08
-0.03,-6.34122E-08,6.34122E-08
-0.04,-8.53606E-08,8.53606E-08
-0.05,-1.0732E-07,1.0732E-07
-0.06,-1.3242E-07,1.3242E-07
-0.07,-1.6062E-07,1.6062E-07
-0.08,-1.9276E-07,1.9276E-07
-0.09,-2.284E-07,2.284E-07
-0.1,-2.7E-07,2.7E-07
-0.11,-3.1768E-07,3.1768E-07
-0.12,-3.7202E-07,3.7202E-07
-0.13,-4.3516E-07,4.3516E-07
-0.14,-5.0766E-07,5.0766E-07
-0.15,-5.9242E-07,5.9242E-07
-0.16,-6.8924E-07,6.8924E-07
-0.17,-8.0154E-07,8.0154E-07
-0.18,-9.3218E-07,9.3218E-07
-0.19,-1.08162E-06,1.08162E-06
-0.2,-1.1772E-06,1.1772E-06
-0.21,-1.3734E-06,1.3734E-06
-0.22,-1.5941E-06,1.5941E-06
-0.23,-1.8524E-06,1.8524E-06
-0.24,-2.1481E-06,2.1481E-06
-0.25,-2.488E-06,2.488E-06
-0.26,-2.8795E-06,2.8795E-06
-0.27,-3.3283E-06,3.3283E-06
-0.28,-3.8448E-06,3.8448E-06
-0.29,-4.424E-06,4.424E-06
-0.3,-5.1044E-06,5.1044E-06
-0.31,-5.8807E-06,5.8807E-06
-0.32,-6.7704E-06,6.7704E-06
-0.33,-7.7879E-06,7.7879E-06
-0.34,-8.947E-06,8.947E-06
-0.35,-1.02735E-05,1.02735E-05
-0.36,-1.1214E-05,1.1214E-05
-0.37,-1.293E-05,1.293E-05
-0.38,-1.4878E-05,1.4878E-05
-0.39,-1.7084E-05,1.7084E-05
-0.4,-1.9592E-05,1.9592E-05
-0.41,-2.2468E-05,2.2468E-05
-0.42,-2.574E-05,2.574E-05
-0.43,-2.9382E-05,2.9382E-05
-0.44,-3.3586E-05,3.3586E-05
-0.45,-3.8336E-05,3.8336E-05
-0.46,-4.3644E-05,4.3644E-05
-0.47,-4.9682E-05,4.9682E-05
-0.48,-5.6516E-05,5.6516E-05
-0.49,-6.405E-05,6.405E-05
-0.5,-7.2598E-05,7.2598E-05
-0.51,-8.2238E-05,8.2238E-05
-0.52,-9.2868E-05,9.2868E-05
-0.53,-0.00010496,0.00010496
-0.54,-0.00011294,0.00011294
-0.55,-0.00012778,0.00012778
-0.56,-0.00014422,0.00014422
-0.57,-0.00016222,0.00016222
-0.58,-0.00018238,0.00018238
-0.59,-0.00020464,0.00020464
-0.6,-0.00022892,0.00022892
-0.61,-0.0002559,0.0002559
-0.62,-0.0002852,0.0002852
-0.63,-0.00031738,0.00031738
-0.64,-0.00035266,0.00035266
-0.65,-0.00039108,0.00039108
-0.66,-0.00043218,0.00043218
-0.67,-0.00047738,0.00047738
-0.68,-0.0005261,0.0005261
-0.69,-0.00057776,0.00057776
-0.7,-0.0006342,0.0006342
-0.71,-0.00069444,0.00069444
-0.72,-0.00075806,0.00075806
-0.73,-0.00082684,0.00082684
-0.74,-0.00090032,0.00090032
-0.75,-0.00097648,0.00097648
-0.76,-0.0010583,0.0010583
-0.77,-0.00114462,0.00114462
-0.78,-0.001206,0.001206
-0.79,-0.0013022,0.0013022
-0.8,-0.0014026,0.0014026
-0.81,-0.0015058,0.0015058
-0.82,-0.0016154,0.0016154
-0.83,-0.0017292,0.0017292
-0.84,-0.001846,0.001846
-0.85,-0.0019702,0.0019702
-0.86,-0.0020974,0.0020974
-0.87,-0.0022274,0.0022274
-0.88,-0.0023638,0.0023638
-0.89,-0.0025046,0.0025046
-0.9,-0.0026472,0.0026472
-0.91,-0.0027964,0.0027964
-0.92,-0.0029502,0.0029502
-0.93,-0.0031052,0.0031052
-0.94,-0.0032674,0.0032674
-0.95,-0.0034334,0.0034334
-0.96,-0.0036012,0.0036012
-0.97,-0.0037752,0.0037752
