V1,I1,absI
1,0.012606,0.012606
0.99,0.012364,0.012364
0.98,0.012138,0.012138
0.97,0.011886,0.011886
0.96,0.01163,0.01163
0.95,0.011352,0.011352
0.94,0.011092,0.011092
0.93,0.01083,0.01083
0.92,0.010566,0.010566
0.91,0.010308,0.010308
0.9,0.01005,0.01005
0.89,0.009801,0.009801
0.88,0.0095422,0.0095422
0.87,0.0092842,0.0092842
0.86,0.0090272,0.0090272
0.85,0.0087722,0.0087722
0.84,0.0085188,0.0085188
0.83,0.0082666,0.0082666
0.82,0.0080158,0.0080158
0.81,0.0077674,0.0077674
0.8,0.0075222,0.0075222
0.79,0.0072782,0.0072782
0.78,0.0070352,0.0070352
0.77,0.0067948,0.0067948
0.76,0.0065554,0.0065554
0.75,0.0063178,0.0063178
0.74,0.006083,0.006083
0.73,0.00585,0.00585
0.72,0.0056192,0.0056192
0.71,0.005391,0.005391
0.7,0.0051652,0.0051652
0.69,0.0049436,0.0049436
0.68,0.0047228,0.0047228
0.67,0.004505,0.004505
0.66,0.0042896,0.0042896
0.65,0.0040768,0.0040768
0.64,0.0038678,0.0038678
0.63,0.0036614,0.0036614
0.62,0.003458,0.003458
0.61,0.0032588,0.0032588
0.6,0.0030628,0.0030628
0.59,0.0028702,0.0028702
0.58,0.0026822,0.0026822
0.57,0.0024986,0.0024986
0.56,0.0023186,0.0023186
0.55,0.0021444,0.0021444
0.54,0.0019754,0.0019754
0.53,0.0018112,0.0018112
0.52,0.0016538,0.0016538
0.51,0.0015028,0.0015028
0.5,0.0013566,0.0013566
0.49,0.0012194,0.0012194
0.48,0.0010896,0.0010896
0.47,0.00096426,0.00096426
0.46,0.00085212,0.00085212
0.45,0.0007473,0.0007473
0.44,0.00065126,0.00065126
0.43,0.00056382,0.00056382
0.42,0.00048444,0.00048444
0.41,0.0004139,0.0004139
0.4,0.00035136,0.00035136
0.39,0.00029616,0.00029616
0.38,0.0002485,0.0002485
0.37,0.00020736,0.00020736
0.36,0.00017044,0.00017044
0.35,0.00014082,0.00014082
0.34,0.0001159,0.0001159
0.33,9.4044E-05,9.4044E-05
0.32,7.7062E-05,7.7062E-05
0.31,6.287E-05,6.287E-05
0.3,5.1132E-05,5.1132E-05
0.29,4.1452E-05,4.1452E-05
0.28,3.3588E-05,3.3588E-05
0.27,2.7122E-05,2.7122E-05
0.26,2.1866E-05,2.1866E-05
0.25,1.7604E-05,1.7604E-05
0.24,1.4148E-05,1.4148E-05
0.23,1.1366E-05,1.1366E-05
0.22,8.9686E-06,8.9686E-06
0.21,7.2042E-06,7.2042E-06
0.2,5.7561E-06,5.7561E-06
0.19,4.6192E-06,4.6192E-06
0.18,3.6823E-06,3.6823E-06
0.17,2.9447E-06,2.9447E-06
0.16,2.3508E-06,2.3508E-06
0.15,1.872E-06,1.872E-06
0.14,1.4913E-06,1.4913E-06
0.13,1.1856E-06,1.1856E-06
0.12,9.2212E-07,9.2212E-07
0.11,7.3282E-07,7.3282E-07
0.1,5.8196E-07,5.8196E-07
0.09,4.5938E-07,4.5938E-07
0.08,3.6E-07,3.6E-07
0.07,2.802E-07,2.802E-07
0.06,2.1506E-07,2.1506E-07
0.05,1.6162E-07,1.6162E-07
0.04,1.1872E-07,1.1872E-07
0.03,7.99932E-08,7.99932E-08
0.02,4.97156E-08,4.97156E-08
0.01,2.33022E-08,2.33022E-08
0,1.5172E-10,1.5172E-10
-0.01,-1.98346E-08,1.98346E-08
-0.02,-3.93376E-08,3.93376E-08
-0.03,-5.84448E-08,5.84448E-08
-0.04,-7.83004E-08,7.83004E-08
-0.05,-9.74714E-08,9.74714E-08
-0.06,-1.1896E-07,1.1896E-07
-0.07,-1.4418E-07,1.4418E-07
-0.08,-1.7284E-07,1.7284E-07
-0.09,-2.0532E-07,2.0532E-07
-0.1,-2.428E-07,2.428E-07
-0.11,-2.8496E-07,2.8496E-07
-0.12,-3.3438E-07,3.3438E-07
-0.13,-3.9148E-07,3.9148E-07
-0.14,-4.5628E-07,4.5628E-07
-0.15,-5.324E-07,5.324E-07
-0.16,-6.2002E-07,6.2002E-07
-0.17,-7.206E-07,7.206E-07
-0.18,-8.3754E-07,8.3754E-07
-0.19,-9.726E-07,9.726E-07
-0.2,-1.12852E-06,1.12852E-06
-0.21,-1.2303E-06,1.2303E-06
-0.22,-1.4343E-06,1.4343E-06
-0.23,-1.6642E-06,1.6642E-06
