V1,I1,absI
1,0.00773,0.00773
0.99,0.0076346,0.0076346
0.98,0.0075074,0.0075074
0.97,0.0073584,0.0073584
0.96,0.0071964,0.0071964
0.95,0.0070246,0.0070246
0.94,0.0068462,0.0068462
0.93,0.0066614,0.0066614
0.92,0.0064732,0.0064732
0.91,0.0062832,0.0062832
0.9,0.0060858,0.0060858
0.89,0.0058928,0.0058928
0.88,0.0056958,0.0056958
0.87,0.005498,0.005498
0.86,0.0053038,0.0053038
0.85,0.0051074,0.0051074
0.84,0.0049118,0.0049118
0.83,0.0047192,0.0047192
0.82,0.0045262,0.0045262
0.81,0.0043342,0.0043342
0.8,0.0041462,0.0041462
0.79,0.0039584,0.0039584
0.78,0.0037718,0.0037718
0.77,0.0035876,0.0035876
0.76,0.0034064,0.0034064
0.75,0.0032274,0.0032274
0.74,0.0030508,0.0030508
0.73,0.0028762,0.0028762
0.72,0.002707,0.002707
0.71,0.0025406,0.0025406
0.7,0.0023776,0.0023776
0.69,0.0022196,0.0022196
0.68,0.0020642,0.0020642
0.67,0.0019136,0.0019136
0.66,0.0017674,0.0017674
0.65,0.001626,0.001626
0.64,0.0014902,0.0014902
0.63,0.00136,0.00136
0.62,0.0012354,0.0012354
0.61,0.0011174,0.0011174
0.6,0.0010058,0.0010058
0.59,0.00089336,0.00089336
0.58,0.0007973,0.0007973
0.57,0.00070782,0.00070782
0.56,0.0006248,0.0006248
0.55,0.00054836,0.00054836
0.54,0.00047864,0.00047864
0.53,0.00041424,0.00041424
0.52,0.0003581,0.0003581
0.51,0.00030798,0.00030798
0.5,0.00026318,0.00026318
0.49,0.00022408,0.00022408
0.48,0.00018992,0.00018992
0.47,0.00016036,0.00016036
0.46,0.00013486,0.00013486
0.45,0.00011294,0.00011294
0.44,9.1924E-05,9.1924E-05
0.43,7.699E-05,7.699E-05
0.42,6.4086E-05,6.4086E-05
0.41,5.3174E-05,5.3174E-05
0.4,4.3982E-05,4.3982E-05
0.39,3.6256E-05,3.6256E-05
0.38,2.9598E-05,2.9598E-05
0.37,2.4332E-05,2.4332E-05
0.36,1.9954E-05,1.9954E-05
0.35,1.6296E-05,1.6296E-05
0.34,1.3306E-05,1.3306E-05
0.33,1.084E-05,1.084E-05
0.32,8.5126E-06,8.5126E-06
0.31,6.9306E-06,6.9306E-06
0.3,5.6262E-06,5.6262E-06
0.29,4.5739E-06,4.5739E-06
0.28,3.6859E-06,3.6859E-06
0.27,2.9753E-06,2.9753E-06
0.26,2.3985E-06,2.3985E-06
0.25,1.9315E-06,1.9315E-06
0.24,1.5532E-06,1.5532E-06
0.23,1.2475E-06,1.2475E-06
0.22,9.555E-07,9.555E-07
0.21,7.7478E-07,7.7478E-07
0.2,6.2508E-07,6.2508E-07
0.19,5.0386E-07,5.0386E-07
0.18,4.0544E-07,4.0544E-07
0.17,3.2286E-07,3.2286E-07
0.16,2.5916E-07,2.5916E-07
0.15,2.074E-07,2.074E-07
0.14,1.6546E-07,1.6546E-07
0.13,1.3276E-07,1.3276E-07
0.12,1.0638E-07,1.0638E-07
0.11,7.91206E-08,7.91206E-08
0.1,6.1821E-08,6.1821E-08
0.09,4.78556E-08,4.78556E-08
0.08,3.6875E-08,3.6875E-08
0.07,2.84298E-08,2.84298E-08
0.06,2.1214E-08,2.1214E-08
0.05,1.61198E-08,1.61198E-08
0.04,1.13212E-08,1.13212E-08
0.03,6.9204E-09,6.9204E-09
0.02,4.2099E-09,4.2099E-09
0.01,2.0453E-09,2.0453E-09
0,-9.604E-11,9.604E-11
-0.01,-1.4222E-09,1.4222E-09
-0.02,-3.1628E-09,3.1628E-09
-0.03,-4.2962E-09,4.2962E-09
-0.04,-5.9025E-09,5.9025E-09
-0.05,-7.1287E-09,7.1287E-09
-0.06,-8.7949E-09,8.7949E-09
-0.07,-1.02607E-08,1.02607E-08
-0.08,-1.2121E-08,1.2121E-08
-0.09,-1.42066E-08,1.42066E-08
-0.1,-1.69738E-08,1.69738E-08
-0.11,-1.99856E-08,1.99856E-08
-0.12,-2.32902E-08,2.32902E-08
-0.13,-2.7396E-08,2.7396E-08
-0.14,-3.16932E-08,3.16932E-08
-0.15,-3.70664E-08,3.70664E-08
-0.16,-4.26238E-08,4.26238E-08
-0.17,-4.97456E-08,4.97456E-08
-0.18,-5.71654E-08,5.71654E-08
-0.19,-6.63398E-08,6.63398E-08
-0.2,-7.59922E-08,7.59922E-08
-0.21,-8.78822E-08,8.78822E-08
-0.22,-1.005526E-07,1.005526E-07
-0.23,-1.1204E-07,1.1204E-07
-0.24,-1.3118E-07,1.3118E-07
-0.25,-1.516E-07,1.516E-07
-0.26,-1.7552E-07,1.7552E-07
-0.27,-2.0288E-07,2.0288E-07
-0.28,-2.3434E-07,2.3434E-07
-0.29,-2.6994E-07,2.6994E-07
-0.3,-3.0958E-07,3.0958E-07
-0.31,-3.5654E-07,3.5654E-07
-0.32,-4.0806E-07,4.0806E-07
-0.33,-4.6804E-07,4.6804E-07
-0.34,-5.3616E-07,5.3616E-07
-0.35,-6.1344E-07,6.1344E-07
-0.36,-6.9808E-07,6.9808E-07
-0.37,-7.965E-07,7.965E-07
-0.38,-9.0666E-07,9.0666E-07
-0.39,-1.02664E-06,1.02664E-06
-0.4,-9.5442E-07,9.5442E-07
-0.41,-1.09684E-06,1.09684E-06
-0.42,-1.1229E-06,1.1229E-06
-0.43,-1.293E-06,1.293E-06
-0.44,-1.4841E-06,1.4841E-06
-0.45,-1.6949E-06,1.6949E-06
-0.46,-1.9384E-06,1.9384E-06
-0.47,-2.2106E-06,2.2106E-06
-0.48,-2.5085E-06,2.5085E-06
-0.49,-2.8526E-06,2.8526E-06
-0.5,-3.2312E-06,3.2312E-06
-0.51,-3.6508E-06,3.6508E-06
-0.52,-4.1316E-06,4.1316E-06
-0.53,-4.6519E-06,4.6519E-06
-0.54,-5.2507E-06,5.2507E-06
-0.55,-5.9185E-06,5.9185E-06
-0.56,-6.6361E-06,6.6361E-06
-0.57,-7.4605E-06,7.4605E-06
-0.58,-8.3693E-06,8.3693E-06
-0.59,-9.3616E-06,9.3616E-06
-0.6,-1.0486E-05,1.0486E-05
-0.61,-1.019E-05,1.019E-05
-0.62,-1.1542E-05,1.1542E-05
-0.63,-1.3054E-05,1.3054E-05
-0.64,-1.462E-05,1.462E-05
-0.65,-1.6464E-05,1.6464E-05
-0.66,-1.8484E-05,1.8484E-05
-0.67,-2.0696E-05,2.0696E-05
-0.68,-2.3078E-05,2.3078E-05
-0.69,-2.5788E-05,2.5788E-05
-0.7,-2.8722E-05,2.8722E-05
-0.71,-3.183E-05,3.183E-05
-0.72,-3.5416E-05,3.5416E-05
-0.73,-3.9288E-05,3.9288E-05
-0.74,-4.3382E-05,4.3382E-05
-0.75,-4.8074E-05,4.8074E-05
-0.76,-5.3136E-05,5.3136E-05
-0.77,-5.8408E-05,5.8408E-05
-0.78,-6.4494E-05,6.4494E-05
-0.79,-7.1044E-05,7.1044E-05
-0.8,-7.781E-05,7.781E-05
-0.81,-8.5616E-05,8.5616E-05
-0.82,-9.3968E-05,9.3968E-05
-0.83,-0.000102512,0.000102512
-0.84,-0.000112416,0.000112416
-0.85,-0.00010876,0.00010876
-0.86,-0.00012012,0.00012012
-0.87,-0.00013224,0.00013224
-0.88,-0.00014478,0.00014478
-0.89,-0.00015872,0.00015872
-0.9,-0.00017368,0.00017368
-0.91,-0.00018854,0.00018854
-0.92,-0.0002057,0.0002057
-0.93,-0.00022404,0.00022404
-0.94,-0.0002422,0.0002422
-0.95,-0.00026322,0.00026322
-0.96,-0.00028544,0.00028544
-0.97,-0.00030724,0.00030724
-0.98,-0.00033256,0.00033256
-0.99,-0.00035906,0.00035906
-1,-0.00038524,0.00038524
-1.01,-0.00041512,0.00041512
-1.02,-0.00044656,0.00044656
-1.03,-0.00047724,0.00047724
-1.04,-0.00051182,0.00051182
-1.05,-0.00054842,0.00054842
-1.06,-0.000584,0.000584
