V1,I1,absI
1,0.007769,0.007769
0.99,0.007671,0.007671
0.98,0.007544,0.007544
0.97,0.0073952,0.0073952
0.96,0.0072326,0.0072326
0.95,0.0070598,0.0070598
0.94,0.0068808,0.0068808
0.93,0.0066946,0.0066946
0.92,0.0065064,0.0065064
0.91,0.0063168,0.0063168
0.9,0.0061224,0.0061224
0.89,0.005928,0.005928
0.88,0.0057332,0.0057332
0.87,0.0055372,0.0055372
0.86,0.0053412,0.0053412
0.85,0.0051436,0.0051436
0.84,0.004947,0.004947
0.83,0.004751,0.004751
0.82,0.0045568,0.0045568
0.81,0.0043662,0.0043662
0.8,0.0041766,0.0041766
0.79,0.0039876,0.0039876
0.78,0.0038042,0.0038042
0.77,0.0036204,0.0036204
0.76,0.0034388,0.0034388
0.75,0.0032598,0.0032598
0.74,0.0030828,0.0030828
0.73,0.0029088,0.0029088
0.72,0.0027376,0.0027376
0.71,0.0025702,0.0025702
0.7,0.002406,0.002406
0.69,0.002247,0.002247
0.68,0.0020908,0.0020908
0.67,0.0019386,0.0019386
0.66,0.0017912,0.0017912
0.65,0.0016492,0.0016492
0.64,0.001512,0.001512
0.63,0.0013806,0.0013806
0.62,0.0012552,0.0012552
0.61,0.001136,0.001136
0.6,0.0010232,0.0010232
0.59,0.00090952,0.00090952
0.58,0.00081306,0.00081306
0.57,0.0007229,0.0007229
0.56,0.00063726,0.00063726
0.55,0.00056094,0.00056094
0.54,0.0004909,0.0004909
0.53,0.00042572,0.00042572
0.52,0.00036902,0.00036902
0.51,0.0003181,0.0003181
0.5,0.00027138,0.00027138
0.49,0.00023198,0.00023198
0.48,0.00019728,0.00019728
0.47,0.0001661,0.0001661
0.46,0.00014038,0.00014038
0.45,0.00011804,0.00011804
0.44,9.5986E-05,9.5986E-05
0.43,8.068E-05,8.068E-05
0.42,6.7142E-05,6.7142E-05
0.41,5.5966E-05,5.5966E-05
0.4,4.6506E-05,4.6506E-05
0.39,3.833E-05,3.833E-05
0.38,3.172E-05,3.172E-05
0.37,2.6176E-05,2.6176E-05
0.36,2.1386E-05,2.1386E-05
0.35,1.7572E-05,1.7572E-05
0.34,1.4426E-05,1.4426E-05
0.33,1.171E-05,1.171E-05
0.32,9.2542E-06,9.2542E-06
0.31,7.5299E-06,7.5299E-06
0.3,6.1436E-06,6.1436E-06
0.29,4.9929E-06,4.9929E-06
0.28,4.0484E-06,4.0484E-06
0.27,3.2878E-06,3.2878E-06
0.26,2.6524E-06,2.6524E-06
0.25,2.15E-06,2.15E-06
0.24,1.7398E-06,1.7398E-06
0.23,1.399E-06,1.399E-06
0.22,1.1301E-06,1.1301E-06
0.21,8.6486E-07,8.6486E-07
0.2,7.0314E-07,7.0314E-07
0.19,5.6786E-07,5.6786E-07
0.18,4.5954E-07,4.5954E-07
0.17,3.7138E-07,3.7138E-07
0.16,2.9808E-07,2.9808E-07
0.15,2.4002E-07,2.4002E-07
0.14,1.9256E-07,1.9256E-07
0.13,1.486E-07,1.486E-07
0.12,1.1926E-07,1.1926E-07
0.11,9.03254E-08,9.03254E-08
0.1,7.13074E-08,7.13074E-08
0.09,5.55194E-08,5.55194E-08
0.08,4.33628E-08,4.33628E-08
0.07,3.3269E-08,3.3269E-08
0.06,2.56108E-08,2.56108E-08
0.05,1.8982E-08,1.8982E-08
0.04,1.39018E-08,1.39018E-08
0.03,9.4856E-09,9.4856E-09
0.02,5.2389E-09,5.2389E-09
0.01,2.6566E-09,2.6566E-09
0,-1.6875E-10,1.6875E-10
-0.01,-2.0964E-09,2.0964E-09
-0.02,-3.7624E-09,3.7624E-09
-0.03,-5.903E-09,5.903E-09
-0.04,-7.4154E-09,7.4154E-09
-0.05,-9.6457E-09,9.6457E-09
-0.06,-1.1463E-08,1.1463E-08
-0.07,-1.38756E-08,1.38756E-08
-0.08,-1.6936E-08,1.6936E-08
-0.09,-1.99514E-08,1.99514E-08
-0.1,-2.39328E-08,2.39328E-08
-0.11,-2.7796E-08,2.7796E-08
-0.12,-3.3089E-08,3.3089E-08
-0.13,-3.82864E-08,3.82864E-08
-0.14,-4.50846E-08,4.50846E-08
-0.15,-5.20984E-08,5.20984E-08
-0.16,-6.09404E-08,6.09404E-08
-0.17,-7.03934E-08,7.03934E-08
-0.18,-8.18404E-08,8.18404E-08
-0.19,-9.44874E-08,9.44874E-08
-0.2,-1.093746E-07,1.093746E-07
-0.21,-1.2334E-07,1.2334E-07
-0.22,-1.445E-07,1.445E-07
-0.23,-1.679E-07,1.679E-07
-0.24,-1.9626E-07,1.9626E-07
-0.25,-2.2858E-07,2.2858E-07
-0.26,-2.6372E-07,2.6372E-07
-0.27,-3.0602E-07,3.0602E-07
-0.28,-3.5448E-07,3.5448E-07
-0.29,-4.0766E-07,4.0766E-07
-0.3,-4.7076E-07,4.7076E-07
-0.31,-5.428E-07,5.428E-07
-0.32,-6.2074E-07,6.2074E-07
