V1,I1,absI
1,0.00036106,0.00036106
0.99,0.00036964,0.00036964
0.98,0.000372,0.000372
0.97,0.00036912,0.00036912
0.96,0.00036314,0.00036314
0.95,0.00035444,0.00035444
0.94,0.00034388,0.00034388
0.93,0.00033246,0.00033246
0.92,0.00031998,0.00031998
0.91,0.00030698,0.00030698
0.9,0.00029376,0.00029376
0.89,0.00028002,0.00028002
0.88,0.0002665,0.0002665
0.87,0.00025282,0.00025282
0.86,0.00023944,0.00023944
0.85,0.0002261,0.0002261
0.84,0.00021306,0.00021306
0.83,0.00020006,0.00020006
0.82,0.00018774,0.00018774
0.81,0.0001757,0.0001757
0.8,0.0001644,0.0001644
0.79,0.00015318,0.00015318
0.78,0.00014286,0.00014286
0.77,0.0001329,0.0001329
0.76,0.00012288,0.00012288
0.75,0.00011386,0.00011386
0.74,0.00010496,0.00010496
0.73,9.4208E-05,9.4208E-05
0.72,8.7096E-05,8.7096E-05
0.71,8.0092E-05,8.0092E-05
0.7,7.3444E-05,7.3444E-05
0.69,6.7068E-05,6.7068E-05
0.68,6.1282E-05,6.1282E-05
0.67,5.57E-05,5.57E-05
0.66,5.0448E-05,5.0448E-05
0.65,4.566E-05,4.566E-05
0.64,4.1226E-05,4.1226E-05
0.63,3.7094E-05,3.7094E-05
0.62,3.3288E-05,3.3288E-05
0.61,2.9794E-05,2.9794E-05
0.6,2.661E-05,2.661E-05
0.59,2.3682E-05,2.3682E-05
0.58,2.1026E-05,2.1026E-05
0.57,1.8592E-05,1.8592E-05
0.56,1.643E-05,1.643E-05
0.55,1.446E-05,1.446E-05
0.54,1.2698E-05,1.2698E-05
0.53,1.1126E-05,1.1126E-05
0.52,9.1755E-06,9.1755E-06
0.51,8.0006E-06,8.0006E-06
0.5,6.9477E-06,6.9477E-06
0.49,6.0157E-06,6.0157E-06
0.48,5.1945E-06,5.1945E-06
0.47,4.4717E-06,4.4717E-06
0.46,3.8454E-06,3.8454E-06
0.45,3.3016E-06,3.3016E-06
0.44,2.8316E-06,2.8316E-06
0.43,2.4369E-06,2.4369E-06
0.42,2.0705E-06,2.0705E-06
0.41,1.7719E-06,1.7719E-06
0.4,1.5081E-06,1.5081E-06
0.39,1.2742E-06,1.2742E-06
0.38,1.0825E-06,1.0825E-06
0.37,8.2942E-07,8.2942E-07
0.36,7.0546E-07,7.0546E-07
0.35,6.0584E-07,6.0584E-07
0.34,5.1836E-07,5.1836E-07
0.33,4.3456E-07,4.3456E-07
0.32,3.6912E-07,3.6912E-07
0.31,3.131E-07,3.131E-07
0.3,2.609E-07,2.609E-07
0.29,2.1996E-07,2.1996E-07
0.28,1.8478E-07,1.8478E-07
0.27,1.5176E-07,1.5176E-07
0.26,1.2778E-07,1.2778E-07
0.25,1.0678E-07,1.0678E-07
0.24,7.73638E-08,7.73638E-08
0.23,6.1177E-08,6.1177E-08
0.22,4.95636E-08,4.95636E-08
0.21,3.96448E-08,3.96448E-08
0.2,3.20208E-08,3.20208E-08
0.19,2.55136E-08,2.55136E-08
0.18,2.09226E-08,2.09226E-08
0.17,1.64048E-08,1.64048E-08
0.16,1.3581E-08,1.3581E-08
0.15,1.05308E-08,1.05308E-08
0.14,8.8382E-09,8.8382E-09
0.13,5.4264E-09,5.4264E-09
0.12,4.2215E-09,4.2215E-09
0.11,2.925E-09,2.925E-09
0.1,2.4376E-09,2.4376E-09
0.09,1.5583E-09,1.5583E-09
0.08,1.4416E-09,1.4416E-09
0.07,1.0937E-09,1.0937E-09
0.06,5.5404E-10,5.5404E-10
0.05,5.7405E-10,5.7405E-10
0.04,2.6058E-10,2.6058E-10
0.03,3.3222E-10,3.3222E-10
0.02,2.7865E-10,2.7865E-10
0.01,-9.279E-11,9.279E-11
0,1.4596E-10,1.4596E-10
-0.01,-1.561E-11,1.561E-11
-0.02,-1.3762E-10,1.3762E-10
-0.03,-2.9273E-10,2.9273E-10
-0.04,-7.694E-11,7.694E-11
-0.05,-1.1363E-10,1.1363E-10
-0.06,-9.698E-11,9.698E-11
-0.07,-1.1211E-10,1.1211E-10
-0.08,-4.3023E-10,4.3023E-10
-0.09,-5.2854E-10,5.2854E-10
-0.1,-5.761E-10,5.761E-10
-0.11,-6.3994E-10,6.3994E-10
-0.12,-6.9391E-10,6.9391E-10
-0.13,-7.6306E-10,7.6306E-10
-0.14,-5.9334E-10,5.9334E-10
-0.15,-6.0966E-10,6.0966E-10
-0.16,-8.9603E-10,8.9603E-10
-0.17,-8.551E-10,8.551E-10
-0.18,-1.3483E-09,1.3483E-09
-0.19,-1.3226E-09,1.3226E-09
-0.2,-1.8302E-09,1.8302E-09
-0.21,-1.9597E-09,1.9597E-09
-0.22,-2.4834E-09,2.4834E-09
-0.23,-2.7572E-09,2.7572E-09
-0.24,-3.3459E-09,3.3459E-09
-0.25,-3.8278E-09,3.8278E-09
-0.26,-4.4811E-09,4.4811E-09
-0.27,-5.1769E-09,5.1769E-09
-0.28,-5.9194E-09,5.9194E-09
-0.29,-6.9003E-09,6.9003E-09
-0.3,-7.7535E-09,7.7535E-09
-0.31,-9.0621E-09,9.0621E-09
-0.32,-1.0094E-08,1.0094E-08
-0.33,-1.125E-08,1.125E-08
-0.34,-1.3807E-08,1.3807E-08
-0.35,-1.6228E-08,1.6228E-08
-0.36,-1.9469E-08,1.9469E-08
-0.37,-2.2717E-08,2.2717E-08
-0.38,-2.69688E-08,2.69688E-08
-0.39,-3.13E-08,3.13E-08
-0.4,-3.66084E-08,3.66084E-08
-0.41,-4.23712E-08,4.23712E-08
-0.42,-4.8949E-08,4.8949E-08
-0.43,-5.64846E-08,5.64846E-08
-0.44,-6.4539E-08,6.4539E-08
-0.45,-7.38008E-08,7.38008E-08
-0.46,-8.3564E-08,8.3564E-08
-0.47,-9.50114E-08,9.50114E-08
-0.48,-1.070898E-07,1.070898E-07
-0.49,-1.1262E-07,1.1262E-07
-0.5,-1.3148E-07,1.3148E-07
-0.51,-1.5284E-07,1.5284E-07
-0.52,-1.7686E-07,1.7686E-07
-0.53,-2.0218E-07,2.0218E-07
-0.54,-2.326E-07,2.326E-07
-0.55,-2.6588E-07,2.6588E-07
-0.56,-3.013E-07,3.013E-07
-0.57,-3.4032E-07,3.4032E-07
-0.58,-3.8594E-07,3.8594E-07
-0.59,-4.296E-07,4.296E-07
-0.6,-4.7934E-07,4.7934E-07
-0.61,-5.3362E-07,5.3362E-07
-0.62,-5.9194E-07,5.9194E-07
-0.63,-6.5712E-07,6.5712E-07
-0.64,-7.2198E-07,7.2198E-07
-0.65,-7.9656E-07,7.9656E-07
-0.66,-8.7238E-07,8.7238E-07
-0.67,-9.5624E-07,9.5624E-07
-0.68,-1.0447E-06,1.0447E-06
-0.69,-6.6526E-07,6.6526E-07
-0.7,-7.5292E-07,7.5292E-07
-0.71,-8.4338E-07,8.4338E-07
-0.72,-9.4816E-07,9.4816E-07
-0.73,-1.06272E-06,1.06272E-06
-0.74,-7.7218E-07,7.7218E-07
-0.75,-8.7924E-07,8.7924E-07
-0.76,-9.9468E-07,9.9468E-07
-0.77,-1.1111E-06,1.1111E-06
-0.78,-8.5266E-07,8.5266E-07
-0.79,-9.7188E-07,9.7188E-07
-0.8,-1.10064E-06,1.10064E-06
-0.81,-8.8914E-07,8.8914E-07
-0.82,-1.01088E-06,1.01088E-06
-0.83,-1.13128E-06,1.13128E-06
-0.84,-9.839E-07,9.839E-07
-0.85,-1.111E-06,1.111E-06
-0.86,-1.2469E-06,1.2469E-06
-0.87,-1.3891E-06,1.3891E-06
-0.88,-1.546E-06,1.546E-06
-0.89,-1.7139E-06,1.7139E-06
-0.9,-1.8861E-06,1.8861E-06
-0.91,-2.0804E-06,2.0804E-06
-0.92,-2.286E-06,2.286E-06
-0.93,-2.4902E-06,2.4902E-06
-0.94,-2.7236E-06,2.7236E-06
-0.95,-2.9483E-06,2.9483E-06
-0.96,-3.0996E-06,3.0996E-06
-0.97,-3.3421E-06,3.3421E-06
-0.98,-3.5992E-06,3.5992E-06
-0.99,-3.8131E-06,3.8131E-06
-1,-4.1093E-06,4.1093E-06
-1.01,-4.3824E-06,4.3824E-06
-1.02,-4.6633E-06,4.6633E-06
-1.03,-4.9545E-06,4.9545E-06
-1.04,-5.2141E-06,5.2141E-06
-1.05,-5.5247E-06,5.5247E-06
-1.06,-5.7564E-06,5.7564E-06
-1.07,-6.084E-06,6.084E-06
-1.08,-6.4161E-06,6.4161E-06
-1.09,-6.7462E-06,6.7462E-06
-1.1,-7.0849E-06,7.0849E-06
-1.11,-7.4406E-06,7.4406E-06
-1.12,-7.7973E-06,7.7973E-06
-1.13,-8.0453E-06,8.0453E-06
-1.14,-8.4422E-06,8.4422E-06
-1.15,-8.8838E-06,8.8838E-06
-1.16,-9.2443E-06,9.2443E-06
-1.17,-9.7171E-06,9.7171E-06
-1.18,-1.01488E-05,1.01488E-05
-1.19,-1.05573E-05,1.05573E-05
-1.2,-1.10289E-05,1.10289E-05
-1.21,-7.3827E-06,7.3827E-06
-1.22,-7.947E-06,7.947E-06
-1.23,-8.4016E-06,8.4016E-06
-1.24,-8.9526E-06,8.9526E-06
-1.25,-9.4057E-06,9.4057E-06
-1.26,-9.9876E-06,9.9876E-06
-1.27,-1.05708E-05,1.05708E-05
-1.28,-1.10062E-05,1.10062E-05
-1.29,-8.0255E-06,8.0255E-06
-1.3,-8.599E-06,8.599E-06
-1.3,-8.3875E-06,8.3875E-06
-1.29,-7.272E-06,7.272E-06
-1.28,-6.3422E-06,6.3422E-06
-1.27,-5.5439E-06,5.5439E-06
-1.26,-4.8708E-06,4.8708E-06
-1.25,-4.283E-06,4.283E-06
-1.24,-3.7756E-06,3.7756E-06
-1.23,-3.3265E-06,3.3265E-06
-1.22,-2.9404E-06,2.9404E-06
-1.21,-2.5922E-06,2.5922E-06
-1.2,-2.2937E-06,2.2937E-06
-1.19,-2.0347E-06,2.0347E-06
-1.18,-1.7966E-06,1.7966E-06
-1.17,-1.5932E-06,1.5932E-06
-1.16,-1.4134E-06,1.4134E-06
-1.15,-1.2523E-06,1.2523E-06
-1.14,-1.1112E-06,1.1112E-06
-1.13,-9.9418E-07,9.9418E-07
-1.12,-8.7484E-07,8.7484E-07
-1.11,-7.7056E-07,7.7056E-07
-1.1,-6.8522E-07,6.8522E-07
-1.09,-6.0294E-07,6.0294E-07
-1.08,-5.3322E-07,5.3322E-07
-1.07,-4.721E-07,4.721E-07
-1.06,-4.1732E-07,4.1732E-07
-1.05,-3.6844E-07,3.6844E-07
-1.04,-3.269E-07,3.269E-07
-1.03,-2.8808E-07,2.8808E-07
-1.02,-2.5398E-07,2.5398E-07
-1.01,-2.251E-07,2.251E-07
-1,-1.999E-07,1.999E-07
-0.99,-1.7658E-07,1.7658E-07
-0.98,-1.5512E-07,1.5512E-07
-0.97,-1.3702E-07,1.3702E-07
-0.96,-1.2032E-07,1.2032E-07
-0.95,-1.06E-07,1.06E-07
-0.94,-9.67332E-08,9.67332E-08
-0.93,-8.52264E-08,8.52264E-08
-0.92,-7.54862E-08,7.54862E-08
-0.91,-6.6431E-08,6.6431E-08
-0.9,-5.90348E-08,5.90348E-08
-0.89,-5.16042E-08,5.16042E-08
-0.88,-4.5751E-08,4.5751E-08
-0.87,-3.98942E-08,3.98942E-08
-0.86,-3.53914E-08,3.53914E-08
-0.85,-3.08196E-08,3.08196E-08
-0.84,-2.72326E-08,2.72326E-08
-0.83,-2.35296E-08,2.35296E-08
-0.82,-2.0943E-08,2.0943E-08
-0.81,-1.8149E-08,1.8149E-08
-0.8,-1.6104E-08,1.6104E-08
-0.79,-1.38674E-08,1.38674E-08
-0.78,-1.23032E-08,1.23032E-08
-0.77,-1.04816E-08,1.04816E-08
-0.76,-9.4586E-09,9.4586E-09
-0.75,-8.297E-09,8.297E-09
-0.74,-7.6649E-09,7.6649E-09
-0.73,-6.7728E-09,6.7728E-09
-0.72,-6.3516E-09,6.3516E-09
-0.71,-5.3469E-09,5.3469E-09
-0.7,-5.0389E-09,5.0389E-09
-0.69,-4.1407E-09,4.1407E-09
-0.68,-3.973E-09,3.973E-09
-0.67,-3.1828E-09,3.1828E-09
-0.66,-3.1106E-09,3.1106E-09
-0.65,-2.4174E-09,2.4174E-09
-0.64,-2.4219E-09,2.4219E-09
-0.63,-1.8214E-09,1.8214E-09
-0.62,-1.8759E-09,1.8759E-09
-0.61,-1.376E-09,1.376E-09
-0.6,-1.4422E-09,1.4422E-09
-0.59,-1.0476E-09,1.0476E-09
-0.58,-1.1741E-09,1.1741E-09
-0.57,-1.0433E-09,1.0433E-09
-0.56,-7.8235E-10,7.8235E-10
-0.55,-7.2115E-10,7.2115E-10
-0.54,-5.2863E-10,5.2863E-10
-0.53,-5.9391E-10,5.9391E-10
-0.52,-3.425E-10,3.425E-10
-0.51,-4.7895E-10,4.7895E-10
-0.5,-2.2077E-10,2.2077E-10
-0.49,-3.8633E-10,3.8633E-10
-0.48,-1.3719E-10,1.3719E-10
-0.47,-2.9957E-10,2.9957E-10
-0.46,-8.246E-11,8.246E-11
-0.45,-2.4706E-10,2.4706E-10
-0.44,-3.0034E-10,3.0034E-10
-0.43,3.43E-11,3.43E-11
-0.42,-2.0906E-10,2.0906E-10
-0.41,-2.5486E-10,2.5486E-10
-0.4,6.659E-11,6.659E-11
-0.39,-2.2033E-10,2.2033E-10
-0.38,9.527E-11,9.527E-11
-0.37,1.0556E-10,1.0556E-10
-0.36,-1.5349E-10,1.5349E-10
-0.35,-2.0049E-10,2.0049E-10
-0.34,1.2388E-10,1.2388E-10
-0.33,3.887E-11,3.887E-11
