V1,I1,absI
1,0.00032464,0.00032464
0.99,0.00033306,0.00033306
0.98,0.00033502,0.00033502
0.97,0.00033252,0.00033252
0.96,0.00032706,0.00032706
0.95,0.00031946,0.00031946
0.94,0.00030964,0.00030964
0.93,0.00030038,0.00030038
0.92,0.00028864,0.00028864
0.91,0.00027662,0.00027662
0.9,0.00026394,0.00026394
0.89,0.00025082,0.00025082
0.88,0.00023758,0.00023758
0.87,0.0002249,0.0002249
0.86,0.00021198,0.00021198
0.85,0.00019956,0.00019956
0.84,0.0001875,0.0001875
0.83,0.00017578,0.00017578
0.82,0.00016422,0.00016422
0.81,0.00015332,0.00015332
0.8,0.00014278,0.00014278
0.79,0.00013242,0.00013242
0.78,0.00012302,0.00012302
0.77,0.00011356,0.00011356
0.76,0.00010504,0.00010504
0.75,9.4534E-05,9.4534E-05
0.74,8.7476E-05,8.7476E-05
0.73,8.0774E-05,8.0774E-05
0.72,7.3876E-05,7.3876E-05
0.71,6.7788E-05,6.7788E-05
0.7,6.2068E-05,6.2068E-05
0.69,5.5384E-05,5.5384E-05
0.68,5.044E-05,5.044E-05
0.67,4.5674E-05,4.5674E-05
0.66,4.1354E-05,4.1354E-05
0.65,3.7268E-05,3.7268E-05
0.64,3.3496E-05,3.3496E-05
0.63,3.001E-05,3.001E-05
0.62,2.6834E-05,2.6834E-05
0.61,2.3928E-05,2.3928E-05
0.6,2.1286E-05,2.1286E-05
0.59,1.8886E-05,1.8886E-05
0.58,1.6698E-05,1.6698E-05
0.57,1.4738E-05,1.4738E-05
0.56,1.2976E-05,1.2976E-05
0.55,1.1386E-05,1.1386E-05
0.54,9.972E-06,9.972E-06
0.53,8.2579E-06,8.2579E-06
0.52,7.2133E-06,7.2133E-06
0.51,6.2579E-06,6.2579E-06
0.5,5.4159E-06,5.4159E-06
0.49,4.6853E-06,4.6853E-06
0.48,4.0278E-06,4.0278E-06
0.47,3.463E-06,3.463E-06
0.46,2.9717E-06,2.9717E-06
0.45,2.5517E-06,2.5517E-06
0.44,2.1731E-06,2.1731E-06
0.43,1.8522E-06,1.8522E-06
0.42,1.5751E-06,1.5751E-06
0.41,1.3384E-06,1.3384E-06
0.4,1.1427E-06,1.1427E-06
0.39,8.8206E-07,8.8206E-07
0.38,7.6058E-07,7.6058E-07
0.37,6.4734E-07,6.4734E-07
0.36,5.5524E-07,5.5524E-07
0.35,4.727E-07,4.727E-07
0.34,3.9712E-07,3.9712E-07
0.33,3.368E-07,3.368E-07
0.32,2.8002E-07,2.8002E-07
0.31,2.3726E-07,2.3726E-07
0.3,2.0054E-07,2.0054E-07
0.29,1.651E-07,1.651E-07
0.28,1.391E-07,1.391E-07
0.27,1.1612E-07,1.1612E-07
0.26,8.52148E-08,8.52148E-08
0.25,6.77702E-08,6.77702E-08
0.24,5.48752E-08,5.48752E-08
0.23,4.4319E-08,4.4319E-08
0.22,3.56692E-08,3.56692E-08
0.21,2.87554E-08,2.87554E-08
0.2,2.34494E-08,2.34494E-08
0.19,1.87676E-08,1.87676E-08
0.18,1.53958E-08,1.53958E-08
0.17,1.2203E-08,1.2203E-08
0.16,9.8982E-09,9.8982E-09
0.15,6.832E-09,6.832E-09
0.14,4.9768E-09,4.9768E-09
0.13,3.5437E-09,3.5437E-09
0.12,2.85E-09,2.85E-09
0.11,1.9717E-09,1.9717E-09
0.1,1.692E-09,1.692E-09
0.09,1.1193E-09,1.1193E-09
0.08,1.0317E-09,1.0317E-09
0.07,8.0113E-10,8.0113E-10
0.06,3.4185E-10,3.4185E-10
0.05,5.2429E-10,5.2429E-10
0.04,1.134E-10,1.134E-10
0.03,3.3259E-10,3.3259E-10
0.02,-4.354E-11,4.354E-11
0.01,-6.77E-12,6.77E-12
0,1.648E-11,1.648E-11
