V1,I1,absI
1,0.012732,0.012732
0.99,0.012504,0.012504
0.98,0.012262,0.012262
0.97,0.012008,0.012008
0.96,0.011748,0.011748
0.95,0.011488,0.011488
0.94,0.011226,0.011226
0.93,0.010964,0.010964
0.92,0.0107,0.0107
0.91,0.01044,0.01044
0.9,0.010178,0.010178
0.89,0.0099324,0.0099324
0.88,0.0096732,0.0096732
0.87,0.0094138,0.0094138
0.86,0.0091552,0.0091552
0.85,0.0089,0.0089
0.84,0.0086444,0.0086444
0.83,0.008391,0.008391
0.82,0.0081392,0.0081392
0.81,0.0078888,0.0078888
0.8,0.0076422,0.0076422
0.79,0.0073968,0.0073968
0.78,0.0071524,0.0071524
0.77,0.0069104,0.0069104
0.76,0.006671,0.006671
0.75,0.0064328,0.0064328
0.74,0.006197,0.006197
0.73,0.0059638,0.0059638
0.72,0.0057326,0.0057326
0.71,0.0055036,0.0055036
0.7,0.0052774,0.0052774
0.69,0.0050552,0.0050552
0.68,0.0048334,0.0048334
0.67,0.0046154,0.0046154
0.66,0.0043996,0.0043996
0.65,0.0041866,0.0041866
0.64,0.0039764,0.0039764
0.63,0.0037692,0.0037692
0.62,0.003565,0.003565
0.61,0.0033644,0.0033644
0.6,0.0031674,0.0031674
0.59,0.002974,0.002974
0.58,0.0027846,0.0027846
0.57,0.002599,0.002599
0.56,0.0024182,0.0024182
0.55,0.0022416,0.0022416
0.54,0.0020702,0.0020702
0.53,0.0019042,0.0019042
0.52,0.001744,0.001744
0.51,0.0015894,0.0015894
0.5,0.0014406,0.0014406
0.49,0.0012992,0.0012992
0.48,0.001166,0.001166
0.47,0.0010402,0.0010402
0.46,0.0009194,0.0009194
0.45,0.0008108,0.0008108
0.44,0.00071006,0.00071006
0.43,0.0006178,0.0006178
0.42,0.0005341,0.0005341
0.41,0.00045838,0.00045838
0.4,0.00039132,0.00039132
0.39,0.00033192,0.00033192
0.38,0.00027964,0.00027964
0.37,0.00023454,0.00023454
0.36,0.00019572,0.00019572
0.35,0.00016216,0.00016216
0.34,0.00013406,0.00013406
0.33,0.00011048,0.00011048
0.32,8.9546E-05,8.9546E-05
0.31,7.348E-05,7.348E-05
0.3,5.9938E-05,5.9938E-05
0.29,4.8848E-05,4.8848E-05
0.28,3.9756E-05,3.9756E-05
0.27,3.2188E-05,3.2188E-05
0.26,2.6076E-05,2.6076E-05
0.25,2.1074E-05,2.1074E-05
0.24,1.6866E-05,1.6866E-05
0.23,1.3598E-05,1.3598E-05
0.22,1.0944E-05,1.0944E-05
0.21,8.6778E-06,8.6778E-06
0.2,6.9741E-06,6.9741E-06
0.19,5.604E-06,5.604E-06
0.18,4.4905E-06,4.4905E-06
0.17,3.5952E-06,3.5952E-06
0.16,2.8757E-06,2.8757E-06
0.15,2.2991E-06,2.2991E-06
0.14,1.8344E-06,1.8344E-06
0.13,1.4615E-06,1.4615E-06
0.12,1.1662E-06,1.1662E-06
0.11,9.1028E-07,9.1028E-07
0.1,7.2528E-07,7.2528E-07
0.09,5.7462E-07,5.7462E-07
0.08,4.525E-07,4.525E-07
0.07,3.5332E-07,3.5332E-07
0.06,2.7222E-07,2.7222E-07
0.05,2.0566E-07,2.0566E-07
0.04,1.5094E-07,1.5094E-07
0.03,1.049E-07,1.049E-07
0.02,6.4106E-08,6.4106E-08
0.01,3.0325E-08,3.0325E-08
0,2.0263E-10,2.0263E-10
-0.01,-2.58206E-08,2.58206E-08
-0.02,-5.1521E-08,5.1521E-08
-0.03,-7.65126E-08,7.65126E-08
-0.04,-1.0164E-07,1.0164E-07
-0.05,-1.307E-07,1.307E-07
-0.06,-1.6214E-07,1.6214E-07
-0.07,-1.9604E-07,1.9604E-07
-0.08,-2.3568E-07,2.3568E-07
-0.09,-2.8058E-07,2.8058E-07
-0.1,-3.3112E-07,3.3112E-07
-0.11,-3.9028E-07,3.9028E-07
-0.12,-4.586E-07,4.586E-07
-0.13,-5.3598E-07,5.3598E-07
-0.14,-6.2662E-07,6.2662E-07
-0.15,-7.3218E-07,7.3218E-07
-0.16,-8.5368E-07,8.5368E-07
-0.17,-9.9396E-07,9.9396E-07
-0.18,-1.0877E-06,1.0877E-06
-0.19,-1.2698E-06,1.2698E-06
-0.2,-1.4793E-06,1.4793E-06
-0.21,-1.7239E-06,1.7239E-06
-0.22,-2.0044E-06,2.0044E-06
-0.23,-2.3282E-06,2.3282E-06
-0.24,-2.7009E-06,2.7009E-06
-0.25,-3.1308E-06,3.1308E-06
-0.26,-3.6251E-06,3.6251E-06
-0.27,-4.1925E-06,4.1925E-06
-0.28,-4.846E-06,4.846E-06
-0.29,-5.5956E-06,5.5956E-06
-0.3,-6.453E-06,6.453E-06
-0.31,-7.4375E-06,7.4375E-06
-0.32,-8.567E-06,8.567E-06
-0.33,-9.8541E-06,9.8541E-06
-0.34,-1.13248E-05,1.13248E-05
-0.35,-1.2398E-05,1.2398E-05
-0.36,-1.4306E-05,1.4306E-05
-0.37,-1.648E-05,1.648E-05
-0.38,-1.8964E-05,1.8964E-05
-0.39,-2.1774E-05,2.1774E-05
-0.4,-2.4952E-05,2.4952E-05
-0.41,-2.8606E-05,2.8606E-05
-0.42,-3.2746E-05,3.2746E-05
-0.43,-3.7374E-05,3.7374E-05
-0.44,-4.2694E-05,4.2694E-05
-0.45,-4.8684E-05,4.8684E-05
-0.46,-5.53E-05,5.53E-05
-0.47,-6.2904E-05,6.2904E-05
-0.48,-7.1478E-05,7.1478E-05
-0.49,-8.0844E-05,8.0844E-05
-0.5,-9.153E-05,9.153E-05
-0.51,-0.000103572,0.000103572
-0.52,-0.0001114,0.0001114
-0.53,-0.0001262,0.0001262
-0.54,-0.0001426,0.0001426
-0.55,-0.00016046,0.00016046
-0.56,-0.00018062,0.00018062
-0.57,-0.00020284,0.00020284
