V1,I1,absI
1,0.0077448,0.0077448
0.99,0.0076494,0.0076494
0.98,0.0075222,0.0075222
0.97,0.0073742,0.0073742
0.96,0.007212,0.007212
0.95,0.00704,0.00704
0.94,0.0068608,0.0068608
0.93,0.0066748,0.0066748
0.92,0.0064876,0.0064876
0.91,0.0062988,0.0062988
0.9,0.006106,0.006106
0.89,0.0059122,0.0059122
0.88,0.0057162,0.0057162
0.87,0.0055192,0.0055192
0.86,0.005321,0.005321
0.85,0.0051246,0.0051246
0.84,0.0049306,0.0049306
0.83,0.0047376,0.0047376
0.82,0.0045454,0.0045454
0.81,0.004355,0.004355
0.8,0.0041668,0.0041668
0.79,0.0039794,0.0039794
0.78,0.0037936,0.0037936
0.77,0.00361,0.00361
0.76,0.0034286,0.0034286
0.75,0.0032498,0.0032498
0.74,0.003073,0.003073
0.73,0.0028994,0.0028994
0.72,0.002729,0.002729
0.71,0.0025618,0.0025618
0.7,0.002398,0.002398
0.69,0.0022392,0.0022392
0.68,0.0020832,0.0020832
0.67,0.0019322,0.0019322
0.66,0.0017852,0.0017852
0.65,0.0016422,0.0016422
0.64,0.0015064,0.0015064
0.63,0.001376,0.001376
0.62,0.0012496,0.0012496
0.61,0.0011316,0.0011316
0.6,0.0010198,0.0010198
0.59,0.00090502,0.00090502
0.58,0.00080936,0.00080936
0.57,0.00071842,0.00071842
0.56,0.00063502,0.00063502
0.55,0.00055824,0.00055824
0.54,0.00048724,0.00048724
0.53,0.00042388,0.00042388
0.52,0.00036678,0.00036678
0.51,0.00031506,0.00031506
0.5,0.00026984,0.00026984
0.49,0.00023022,0.00023022
0.48,0.00019486,0.00019486
0.47,0.0001649,0.0001649
0.46,0.00013904,0.00013904
0.45,0.00011632,0.00011632
0.44,9.4666E-05,9.4666E-05
0.43,7.9146E-05,7.9146E-05
0.42,6.609E-05,6.609E-05
0.41,5.4912E-05,5.4912E-05
0.4,4.5302E-05,4.5302E-05
0.39,3.7518E-05,3.7518E-05
0.38,3.0948E-05,3.0948E-05
0.37,2.5336E-05,2.5336E-05
0.36,2.0836E-05,2.0836E-05
0.35,1.706E-05,1.706E-05
0.34,1.387E-05,1.387E-05
0.33,1.1348E-05,1.1348E-05
0.32,8.9154E-06,8.9154E-06
0.31,7.2776E-06,7.2776E-06
0.3,5.8707E-06,5.8707E-06
0.29,4.7729E-06,4.7729E-06
0.28,3.8755E-06,3.8755E-06
0.27,3.119E-06,3.119E-06
0.26,2.5241E-06,2.5241E-06
0.25,2.0351E-06,2.0351E-06
0.24,1.5842E-06,1.5842E-06
0.23,1.2763E-06,1.2763E-06
0.22,1.0266E-06,1.0266E-06
0.21,7.8856E-07,7.8856E-07
0.2,6.391E-07,6.391E-07
0.19,5.168E-07,5.168E-07
0.18,4.1644E-07,4.1644E-07
0.17,3.3344E-07,3.3344E-07
0.16,2.6728E-07,2.6728E-07
0.15,2.1456E-07,2.1456E-07
0.14,1.712E-07,1.712E-07
0.13,1.3672E-07,1.3672E-07
0.12,1.0912E-07,1.0912E-07
0.11,8.21076E-08,8.21076E-08
0.1,6.4395E-08,6.4395E-08
0.09,4.9959E-08,4.9959E-08
0.08,3.88104E-08,3.88104E-08
0.07,2.97486E-08,2.97486E-08
0.06,2.2542E-08,2.2542E-08
0.05,1.6932E-08,1.6932E-08
0.04,1.2063E-08,1.2063E-08
0.03,7.8142E-09,7.8142E-09
0.02,4.7558E-09,4.7558E-09
0.01,1.9507E-09,1.9507E-09
0,1.4304E-10,1.4304E-10
-0.01,-1.5895E-09,1.5895E-09
-0.02,-3.3706E-09,3.3706E-09
-0.03,-4.6922E-09,4.6922E-09
-0.04,-6.3698E-09,6.3698E-09
-0.05,-7.7375E-09,7.7375E-09
-0.06,-9.5692E-09,9.5692E-09
-0.07,-1.1234E-08,1.1234E-08
-0.08,-1.33172E-08,1.33172E-08
-0.09,-1.61096E-08,1.61096E-08
-0.1,-1.88176E-08,1.88176E-08
-0.11,-2.21984E-08,2.21984E-08
-0.12,-2.60802E-08,2.60802E-08
-0.13,-3.02808E-08,3.02808E-08
-0.14,-3.54858E-08,3.54858E-08
-0.15,-4.09946E-08,4.09946E-08
-0.16,-4.78504E-08,4.78504E-08
-0.17,-5.49886E-08,5.49886E-08
-0.18,-6.40082E-08,6.40082E-08
-0.19,-7.34524E-08,7.34524E-08
-0.2,-8.5037E-08,8.5037E-08
-0.21,-9.76124E-08,9.76124E-08
-0.22,-1.125374E-07,1.125374E-07
-0.23,-1.2612E-07,1.2612E-07
-0.24,-1.4634E-07,1.4634E-07
