V1,I1,absI
1,0.00035832,0.00035832
0.99,0.00036742,0.00036742
0.98,0.00036946,0.00036946
0.97,0.00036662,0.00036662
0.96,0.00036118,0.00036118
0.95,0.00035268,0.00035268
0.94,0.00034284,0.00034284
0.93,0.00033158,0.00033158
0.92,0.000319,0.000319
0.91,0.00030646,0.00030646
0.9,0.00029318,0.00029318
0.89,0.00027962,0.00027962
0.88,0.0002658,0.0002658
0.87,0.00025242,0.00025242
0.86,0.00023868,0.00023868
0.85,0.00022542,0.00022542
0.84,0.00021246,0.00021246
0.83,0.00019988,0.00019988
0.82,0.0001872,0.0001872
0.81,0.0001754,0.0001754
0.8,0.00016412,0.00016412
0.79,0.00015268,0.00015268
0.78,0.00014216,0.00014216
0.77,0.00013216,0.00013216
0.76,0.0001221,0.0001221
0.75,0.00011312,0.00011312
0.74,0.00010448,0.00010448
0.73,9.3674E-05,9.3674E-05
0.72,8.6672E-05,8.6672E-05
0.71,7.9526E-05,7.9526E-05
0.7,7.2968E-05,7.2968E-05
0.69,6.6896E-05,6.6896E-05
0.68,6.0712E-05,6.0712E-05
0.67,5.5334E-05,5.5334E-05
0.66,5.031E-05,5.031E-05
0.65,4.5144E-05,4.5144E-05
0.64,4.016E-05,4.016E-05
0.63,3.611E-05,3.611E-05
0.62,3.2382E-05,3.2382E-05
0.61,2.8954E-05,2.8954E-05
0.6,2.578E-05,2.578E-05
0.59,2.2916E-05,2.2916E-05
0.58,2.0342E-05,2.0342E-05
0.57,1.7994E-05,1.7994E-05
0.56,1.5876E-05,1.5876E-05
0.55,1.405E-05,1.405E-05
0.54,1.2294E-05,1.2294E-05
0.53,1.0746E-05,1.0746E-05
0.52,8.8293E-06,8.8293E-06
0.51,7.6845E-06,7.6845E-06
0.5,6.6617E-06,6.6617E-06
0.49,5.754E-06,5.754E-06
0.48,4.9621E-06,4.9621E-06
0.47,4.2689E-06,4.2689E-06
0.46,3.6883E-06,3.6883E-06
0.45,3.1406E-06,3.1406E-06
0.44,2.6773E-06,2.6773E-06
0.43,2.2718E-06,2.2718E-06
0.42,1.9267E-06,1.9267E-06
0.41,1.6322E-06,1.6322E-06
0.4,1.3791E-06,1.3791E-06
0.39,1.1616E-06,1.1616E-06
0.38,8.9266E-07,8.9266E-07
0.37,7.6576E-07,7.6576E-07
0.36,6.5072E-07,6.5072E-07
0.35,5.5202E-07,5.5202E-07
0.34,4.6426E-07,4.6426E-07
0.33,3.9416E-07,3.9416E-07
0.32,3.3446E-07,3.3446E-07
0.31,2.779E-07,2.779E-07
0.3,2.3414E-07,2.3414E-07
0.29,1.9682E-07,1.9682E-07
0.28,1.626E-07,1.626E-07
0.27,1.3592E-07,1.3592E-07
0.26,1.1326E-07,1.1326E-07
0.25,8.1301E-08,8.1301E-08
0.24,6.4911E-08,6.4911E-08
0.23,5.17466E-08,5.17466E-08
0.22,4.18788E-08,4.18788E-08
0.21,3.28546E-08,3.28546E-08
0.2,2.68052E-08,2.68052E-08
0.19,2.1039E-08,2.1039E-08
0.18,1.71276E-08,1.71276E-08
0.17,1.34216E-08,1.34216E-08
0.16,1.1033E-08,1.1033E-08
0.15,7.0275E-09,7.0275E-09
0.14,5.4268E-09,5.4268E-09
0.13,3.7085E-09,3.7085E-09
0.12,3.0334E-09,3.0334E-09
0.11,1.9954E-09,1.9954E-09
0.1,1.7982E-09,1.7982E-09
0.09,1.063E-09,1.063E-09
0.08,1.1088E-09,1.1088E-09
0.07,4.8988E-10,4.8988E-10
0.06,6.5196E-10,6.5196E-10
0.05,1.9465E-10,1.9465E-10
0.04,4.3387E-10,4.3387E-10
0.03,8.78E-12,8.78E-12
0.02,2.7619E-10,2.7619E-10
0.01,-1.0525E-10,1.0525E-10
0,-4.247E-11,4.247E-11
-0.01,4.893E-11,4.893E-11
-0.02,2.526E-11,2.526E-11
-0.03,-2.5629E-10,2.5629E-10
-0.04,-2.8343E-10,2.8343E-10
-0.05,-2.1759E-10,2.1759E-10
-0.06,-6.421E-11,6.421E-11
-0.07,-3.675E-11,3.675E-11
-0.08,-1.7696E-10,1.7696E-10
-0.09,-3.3637E-10,3.3637E-10
-0.1,-4.5008E-10,4.5008E-10
-0.11,-3.1013E-10,3.1013E-10
-0.12,-2.6238E-10,2.6238E-10
-0.13,-2.5813E-10,2.5813E-10
-0.14,-3.808E-10,3.808E-10
-0.15,-6.0886E-10,6.0886E-10
-0.16,-7.2831E-10,7.2831E-10
-0.17,-7.4406E-10,7.4406E-10
-0.18,-7.1676E-10,7.1676E-10
-0.19,-6.792E-10,6.792E-10
-0.2,-1.1555E-09,1.1555E-09
-0.21,-1.0538E-09,1.0538E-09
-0.22,-1.557E-09,1.557E-09
-0.23,-1.5495E-09,1.5495E-09
-0.24,-2.0755E-09,2.0755E-09
-0.25,-2.1893E-09,2.1893E-09
-0.26,-2.7479E-09,2.7479E-09
-0.27,-3.0206E-09,3.0206E-09
-0.28,-3.6275E-09,3.6275E-09
-0.29,-4.0754E-09,4.0754E-09
-0.3,-4.754E-09,4.754E-09
-0.31,-5.3826E-09,5.3826E-09
-0.32,-6.1628E-09,6.1628E-09
-0.33,-7.02E-09,7.02E-09
-0.34,-7.91E-09,7.91E-09
-0.35,-9.0541E-09,9.0541E-09
-0.36,-1.0064E-08,1.0064E-08
-0.37,-1.10898E-08,1.10898E-08
-0.38,-1.35056E-08,1.35056E-08
-0.39,-1.57564E-08,1.57564E-08
-0.4,-1.885E-08,1.885E-08
-0.41,-2.18358E-08,2.18358E-08
-0.42,-2.57088E-08,2.57088E-08
-0.43,-2.9781E-08,2.9781E-08
-0.44,-3.47796E-08,3.47796E-08
-0.45,-3.99124E-08,3.99124E-08
-0.46,-4.5949E-08,4.5949E-08
-0.47,-5.24434E-08,5.24434E-08
-0.48,-5.98458E-08,5.98458E-08
-0.49,-6.81236E-08,6.81236E-08
-0.5,-7.66936E-08,7.66936E-08
-0.51,-8.67366E-08,8.67366E-08
-0.52,-9.7365E-08,9.7365E-08
-0.53,-1.097898E-07,1.097898E-07
-0.54,-1.1412E-07,1.1412E-07
-0.55,-1.3262E-07,1.3262E-07
-0.56,-1.524E-07,1.524E-07
-0.57,-1.747E-07,1.747E-07
-0.58,-1.989E-07,1.989E-07
-0.59,-2.2532E-07,2.2532E-07
-0.6,-2.5482E-07,2.5482E-07
-0.61,-2.869E-07,2.869E-07
-0.62,-3.2136E-07,3.2136E-07
-0.63,-3.604E-07,3.604E-07
-0.64,-4.0164E-07,4.0164E-07
-0.65,-4.4634E-07,4.4634E-07
-0.66,-4.949E-07,4.949E-07
-0.67,-5.4788E-07,5.4788E-07
-0.68,-6.0318E-07,6.0318E-07
-0.69,-6.6412E-07,6.6412E-07
-0.7,-7.254E-07,7.254E-07
-0.71,-7.8144E-07,7.8144E-07
-0.72,-8.5372E-07,8.5372E-07
-0.73,-9.335E-07,9.335E-07
-0.74,-1.02776E-06,1.02776E-06
-0.75,-1.12232E-06,1.12232E-06
-0.76,-6.9326E-07,6.9326E-07
-0.77,-7.8146E-07,7.8146E-07
-0.78,-8.7156E-07,8.7156E-07
-0.79,-9.578E-07,9.578E-07
-0.8,-1.06234E-06,1.06234E-06
-0.81,-7.5262E-07,7.5262E-07
-0.82,-8.539E-07,8.539E-07
-0.83,-9.619E-07,9.619E-07
-0.84,-1.0711E-06,1.0711E-06
-0.85,-8.0992E-07,8.0992E-07
-0.86,-9.1842E-07,9.1842E-07
-0.87,-1.02582E-06,1.02582E-06
-0.88,-8.2438E-07,8.2438E-07
-0.89,-9.3138E-07,9.3138E-07
-0.9,-1.04864E-06,1.04864E-06
-0.91,-8.602E-07,8.602E-07
-0.92,-9.746E-07,9.746E-07
-0.93,-1.0993E-06,1.0993E-06
-0.94,-9.2006E-07,9.2006E-07
-0.95,-1.0418E-06,1.0418E-06
-0.96,-9.0632E-07,9.0632E-07
-0.97,-1.0219E-06,1.0219E-06
-0.98,-1.14874E-06,1.14874E-06
-0.99,-1.0297E-06,1.0297E-06
-1,-1.1574E-06,1.1574E-06
-1.01,-1.2884E-06,1.2884E-06
-1.02,-1.4277E-06,1.4277E-06
-1.03,-1.5787E-06,1.5787E-06
-1.04,-1.7353E-06,1.7353E-06
-1.05,-1.909E-06,1.909E-06
-1.06,-2.09E-06,2.09E-06
-1.07,-2.2865E-06,2.2865E-06
-1.08,-2.4822E-06,2.4822E-06
-1.09,-2.6961E-06,2.6961E-06
-1.1,-2.9141E-06,2.9141E-06
-1.11,-3.1436E-06,3.1436E-06
-1.12,-3.383E-06,3.383E-06
-1.13,-3.5945E-06,3.5945E-06
-1.14,-3.8751E-06,3.8751E-06
-1.15,-4.1594E-06,4.1594E-06
-1.16,-4.4411E-06,4.4411E-06
-1.17,-4.7138E-06,4.7138E-06
-1.18,-5.0029E-06,5.0029E-06
-1.19,-5.3088E-06,5.3088E-06
-1.2,-5.6642E-06,5.6642E-06
-1.21,-5.9357E-06,5.9357E-06
-1.22,-6.3075E-06,6.3075E-06
-1.23,-6.5922E-06,6.5922E-06
-1.24,-6.9878E-06,6.9878E-06
-1.25,-7.3871E-06,7.3871E-06
-1.26,-7.6795E-06,7.6795E-06
-1.27,-8.0991E-06,8.0991E-06
-1.28,-8.49E-06,8.49E-06
-1.29,-8.8398E-06,8.8398E-06
-1.3,-9.2727E-06,9.2727E-06
-1.31,-9.5762E-06,9.5762E-06
-1.32,-1.00447E-05,1.00447E-05
-1.33,-1.0496E-05,1.0496E-05
-1.34,-1.08503E-05,1.08503E-05
-1.35,-7.4265E-06,7.4265E-06
-1.36,-7.9305E-06,7.9305E-06
-1.37,-8.4514E-06,8.4514E-06
-1.38,-8.9568E-06,8.9568E-06
-1.39,-9.432E-06,9.432E-06
-1.4,-9.955E-06,9.955E-06
-1.41,-1.04274E-05,1.04274E-05
-1.42,-1.09829E-05,1.09829E-05
-1.43,-7.9761E-06,7.9761E-06
-1.44,-8.5105E-06,8.5105E-06
-1.45,-9.038E-06,9.038E-06
-1.46,-9.5646E-06,9.5646E-06
