V1,I1,absI
1,0.00035448,0.00035448
0.99,0.00036304,0.00036304
0.98,0.00036582,0.00036582
0.97,0.00036328,0.00036328
0.96,0.00035762,0.00035762
0.95,0.00034968,0.00034968
0.94,0.00034008,0.00034008
0.93,0.00032814,0.00032814
0.92,0.0003162,0.0003162
0.91,0.00030302,0.00030302
0.9,0.00028946,0.00028946
0.89,0.00027588,0.00027588
0.88,0.00026186,0.00026186
0.87,0.00024822,0.00024822
0.86,0.0002349,0.0002349
0.85,0.00022174,0.00022174
0.84,0.00020836,0.00020836
0.83,0.00019606,0.00019606
0.82,0.00018394,0.00018394
0.81,0.00017178,0.00017178
0.8,0.0001606,0.0001606
0.79,0.00014986,0.00014986
0.78,0.0001381,0.0001381
0.77,0.00012842,0.00012842
0.76,0.000119,0.000119
0.75,0.00010994,0.00010994
0.74,0.00010142,0.00010142
0.73,9.1238E-05,9.1238E-05
0.72,8.438E-05,8.438E-05
0.71,7.7558E-05,7.7558E-05
0.7,7.0974E-05,7.0974E-05
0.69,6.4894E-05,6.4894E-05
0.68,5.9088E-05,5.9088E-05
0.67,5.3658E-05,5.3658E-05
0.66,4.8626E-05,4.8626E-05
0.65,4.388E-05,4.388E-05
0.64,3.9546E-05,3.9546E-05
0.63,3.5536E-05,3.5536E-05
0.62,3.1852E-05,3.1852E-05
0.61,2.8492E-05,2.8492E-05
0.6,2.5416E-05,2.5416E-05
0.59,2.2724E-05,2.2724E-05
0.58,2.025E-05,2.025E-05
0.57,1.7826E-05,1.7826E-05
0.56,1.5798E-05,1.5798E-05
0.55,1.397E-05,1.397E-05
0.54,1.2116E-05,1.2116E-05
0.53,1.0674E-05,1.0674E-05
0.52,8.7701E-06,8.7701E-06
0.51,7.676E-06,7.676E-06
0.5,6.6784E-06,6.6784E-06
0.49,5.7576E-06,5.7576E-06
0.48,4.9809E-06,4.9809E-06
0.47,4.2926E-06,4.2926E-06
0.46,3.6746E-06,3.6746E-06
0.45,3.1545E-06,3.1545E-06
0.44,2.6866E-06,2.6866E-06
0.43,2.2947E-06,2.2947E-06
0.42,1.9497E-06,1.9497E-06
0.41,1.6414E-06,1.6414E-06
0.4,1.3942E-06,1.3942E-06
0.39,1.1792E-06,1.1792E-06
0.38,8.9614E-07,8.9614E-07
0.37,7.6376E-07,7.6376E-07
0.36,6.534E-07,6.534E-07
0.35,5.5448E-07,5.5448E-07
0.34,4.6578E-07,4.6578E-07
0.33,3.946E-07,3.946E-07
0.32,3.3242E-07,3.3242E-07
0.31,2.763E-07,2.763E-07
0.3,2.3198E-07,2.3198E-07
0.29,1.9162E-07,1.9162E-07
0.28,1.609E-07,1.609E-07
0.27,1.341E-07,1.341E-07
0.26,1.1104E-07,1.1104E-07
0.25,7.53338E-08,7.53338E-08
0.24,6.04222E-08,6.04222E-08
0.23,4.81354E-08,4.81354E-08
0.22,3.88822E-08,3.88822E-08
0.21,3.07132E-08,3.07132E-08
0.2,2.49494E-08,2.49494E-08
0.19,1.96908E-08,1.96908E-08
0.18,1.58724E-08,1.58724E-08
0.17,1.25322E-08,1.25322E-08
0.16,1.02244E-08,1.02244E-08
0.15,6.6757E-09,6.6757E-09
0.14,5.0632E-09,5.0632E-09
0.13,3.5898E-09,3.5898E-09
0.12,2.8203E-09,2.8203E-09
0.11,1.9737E-09,1.9737E-09
0.1,1.6526E-09,1.6526E-09
0.09,1.0825E-09,1.0825E-09
0.08,1.0123E-09,1.0123E-09
0.07,5.3861E-10,5.3861E-10
0.06,5.5744E-10,5.5744E-10
0.05,2.7053E-10,2.7053E-10
0.04,3.3732E-10,3.3732E-10
0.03,7.696E-11,7.696E-11
