Time	Voltage 	Current
302.479	1	0.009526737
302.791	0.98	0.009162897
303.102	0.96	0.008798993
303.406	0.94	0.008437855
303.71	0.92	0.008078314
304.014	0.9	0.007719907
304.319	0.88	0.007365757
304.623	0.86	0.007014167
304.927	0.84	0.006664857
305.232	0.82	0.006318212
305.537	0.8	0.005974498
305.841	0.78	0.005634683
306.147	0.76	0.005296605
306.452	0.74	0.004963201
306.757	0.72	0.004631965
307.062	0.7	0.004306147
307.366	0.68	0.003983819
307.67	0.66	0.003664799
307.969	0.64	0.003351638
308.279	0.62	0.003045225
308.578	0.6	0.002743491
308.887	0.58	0.002449649
309.192	0.56	0.00216278
309.491	0.54	0.001885243
309.801	0.52	0.001617536
310.1	0.5	0.001361683
310.41	0.48	0.001119631
310.715	0.46	8.947173E-4
311.117	0.44	6.891032E-4
311.429	0.42	5.075744E-4
311.736	0.4	3.535165E-4
312.04	0.38	2.310543E-4
312.344	0.36	1.410057E-4
312.643	0.34	8.069045E-5
313.048	0.32	4.385149E-5
313.347	0.3	2.300795E-5
313.656	0.28	1.185471E-5
313.956	0.26	6.072837E-6
314.365	0.24	3.129E-6
314.664	0.22	1.634431E-6
314.968	0.2	8.769839E-7
315.376	0.18	4.882013E-7
315.696	0.16	2.818598E-7
315.998	0.14	1.710571E-7
316.305	0.12	1.077374E-7
316.61	0.1	7.096789E-8
316.916	0.08	4.594287E-8
317.235	0.06	2.933547E-8
317.536	0.04	1.728928E-8
317.843	0.02	8.151859E-9
318.149	-6.17562E-16	-1.541926E-10
318.463	-0.02	-8.179799E-9
318.772	-0.04	-1.588535E-8
319.073	-0.06	-2.488711E-8
319.379	-0.08	-3.41778E-8
319.685	-0.1	-4.528489E-8
319.991	-0.12	-5.940474E-8
320.297	-0.14	-7.005119E-8
320.604	-0.16	-8.576979E-8
320.918	-0.18	-1.058014E-7
321.22	-0.2	-1.259446E-7
321.525	-0.22	-1.483135E-7
321.839	-0.24	-1.737354E-7
322.141	-0.26	-2.070149E-7
322.447	-0.28	-2.355399E-7
322.761	-0.3	-2.806347E-7
323.062	-0.32	-3.226839E-7
323.368	-0.34	-3.669157E-7
323.683	-0.36	-4.205456E-7
323.984	-0.38	-4.727106E-7
324.299	-0.4	-5.581682E-7
324.6	-0.42	-6.5491E-7
324.913	-0.44	-7.499874E-7
325.215	-0.46	-8.602541E-7
325.522	-0.48	-9.961291E-7
325.835	-0.5	-1.061075E-6
326.33	-0.52	-1.204807E-6
326.629	-0.54	-1.329873E-6
326.933	-0.56	-1.506671E-6
327.238	-0.58	-1.668469E-6
327.542	-0.6	-1.869762E-6
327.845	-0.62	-2.134377E-6
328.155	-0.64	-2.37734E-6
328.454	-0.66	-2.612986E-6
328.759	-0.68	-2.875234E-6
329.063	-0.7	-3.079226E-6
329.366	-0.72	-3.447595E-6
329.67	-0.74	-3.643452E-6
329.974	-0.76	-3.947287E-6
330.279	-0.78	-4.192842E-6
330.582	-0.8	-4.548596E-6
330.886	-0.82	-5.003052E-6
331.196	-0.84	-5.254494E-6
331.497	-0.86	-5.685576E-6
331.801	-0.88	-6.033054E-6
332.104	-0.9	-6.49217E-6
332.409	-0.92	-6.824857E-6
332.712	-0.94	-7.336694E-6
333.016	-0.96	-7.796251E-6
333.321	-0.98	-8.263259E-6
333.626	-1	-8.758506E-6
333.929	-1	-8.442327E-6
334.233	-0.98	-7.570757E-6
334.536	-0.96	-6.595617E-6
334.841	-0.94	-5.946412E-6
335.145	-0.92	-5.242591E-6
335.449	-0.9	-4.602196E-6
335.752	-0.88	-4.06216E-6
336.057	-0.86	-3.606463E-6
336.36	-0.84	-3.100727E-6
336.665	-0.82	-2.78784E-6
336.969	-0.8	-2.477074E-6
337.273	-0.78	-2.115223E-6
337.577	-0.76	-1.860804E-6
337.881	-0.74	-1.544228E-6
338.185	-0.72	-1.331836E-6
338.489	-0.7	-1.139964E-6
338.792	-0.68	-9.82911E-7
339.207	-0.66	-8.170746E-7
339.51	-0.64	-6.779413E-7
339.816	-0.62	-5.821587E-7
340.124	-0.6	-4.859313E-7
340.429	-0.58	-4.058558E-7
340.735	-0.56	-3.312499E-7
341.05	-0.54	-2.751009E-7
341.352	-0.52	-2.225272E-7
341.659	-0.5	-1.801073E-7
341.965	-0.48	-1.500724E-7
342.271	-0.46	-1.244623E-7
342.578	-0.44	-9.973851E-8
342.885	-0.42	-8.173384E-8
343.192	-0.4	-6.53492E-8
343.497	-0.38	-5.186453E-8
343.804	-0.36	-4.170802E-8
344.11	-0.34	-3.426818E-8
344.416	-0.32	-2.733871E-8
344.721	-0.3	-2.145079E-8
345.027	-0.28	-1.735565E-8
345.334	-0.26	-1.346024E-8
345.64	-0.24	-1.06285E-8
345.953	-0.22	-8.408528E-9
346.254	-0.2	-6.663599E-9
346.563	-0.18	-5.223868E-9
346.869	-0.16	-4.089092E-9
347.175	-0.14	-3.172797E-9
347.481	-0.12	-2.458153E-9
347.795	-0.1	-1.932694E-9
348.095	-0.08	-1.542771E-9
348.401	-0.06	-1.117243E-9
348.708	-0.04	-7.979131E-10
349.014	-0.02	-4.976891E-10
349.328	6.17562E-16	-3.813262E-11
349.631	0.02	6.365862E-10
349.937	0.04	1.825208E-9
350.251	0.06	4.059831E-9
350.552	0.08	8.431495E-9
350.866	0.1	1.716345E-8
351.166	0.12	3.48359E-8
351.472	0.14	7.0566E-8
351.778	0.16	1.429425E-7
352.084	0.18	2.902599E-7
352.391	0.2	5.898989E-7
352.697	0.22	1.197586E-6
353.198	0.24	2.425382E-6
353.498	0.26	4.890627E-6
353.802	0.28	9.798311E-6
354.107	0.3	1.940441E-5
354.601	0.32	3.757908E-5
354.901	0.34	7.029023E-5
355.205	0.36	1.251416E-4
355.694	0.38	2.088075E-4
355.994	0.4	3.249756E-4
356.298	0.42	4.734611E-4
356.602	0.44	6.505254E-4
356.906	0.46	8.524095E-4
357.21	0.48	0.001074848
357.7	0.5	0.001314483
358	0.52	0.001568405
358.304	0.54	0.001834829
358.609	0.56	0.002111824
358.913	0.58	0.002397471
359.217	0.6	0.002691271
359.521	0.62	0.002992162
359.826	0.64	0.003298514
360.129	0.66	0.003610289
360.433	0.68	0.003928897
360.737	0.7	0.004251125
361.043	0.72	0.004577067
361.345	0.74	0.004908159
361.649	0.76	0.005242365
361.953	0.78	0.005579285
362.257	0.8	0.005921132
362.561	0.82	0.006264874
362.865	0.84	0.006613392
363.169	0.86	0.006963823
363.473	0.88	0.007316367
363.777	0.9	0.007671513
364.081	0.92	0.008028697
364.385	0.94	0.008389107
364.689	0.96	0.008750064
364.994	0.98	0.009115401
365.298	1	0.009546169
