Time 	Voltage 	Current
1483.843	1	0.009537644
1484.153	0.98	0.009175043
1484.465	0.96	0.008812236
1484.777	0.94	0.008451778
1485.088	0.92	0.008090833
1485.4	0.9	0.007732589
1485.703	0.88	0.007378582
1486.008	0.86	0.007026159
1486.311	0.84	0.006676861
1486.616	0.82	0.006329929
1486.92	0.8	0.005987122
1487.224	0.78	0.00564554
1487.528	0.76	0.005307992
1487.831	0.74	0.00497232
1488.136	0.72	0.004641044
1488.44	0.7	0.004314983
1488.743	0.68	0.003993331
1489.048	0.66	0.003675449
1489.352	0.64	0.003362235
1489.656	0.62	0.003054417
1489.96	0.6	0.002752066
1490.263	0.58	0.002457217
1490.567	0.56	0.002170396
1490.87	0.54	0.001892109
1491.174	0.52	0.001623845
1491.478	0.5	0.001367519
1491.782	0.48	0.001124901
1492.086	0.46	8.994633E-4
1492.487	0.44	6.934929E-4
1492.799	0.42	5.111194E-4
1493.11	0.4	3.565087E-4
1493.421	0.38	2.333662E-4
1493.733	0.36	1.426163E-4
1494.044	0.34	8.172138E-5
1494.449	0.32	4.447791E-5
1494.76	0.3	2.337462E-5
1495.072	0.28	1.20493E-5
1495.384	0.26	6.175774E-6
1495.792	0.24	3.183083E-6
1496.104	0.22	1.665917E-6
1496.417	0.2	8.948459E-7
1496.831	0.18	4.99641E-7
1497.137	0.16	2.865092E-7
1497.451	0.14	1.745978E-7
1497.757	0.12	1.104425E-7
1498.063	0.1	7.009704E-8
1498.368	0.08	4.568496E-8
1498.673	0.06	2.935213E-8
1498.98	0.04	1.72743E-8
1499.286	0.02	7.612888E-9
1499.6	-6.17562E-16	-1.547728E-10
1499.907	-0.02	-7.15744E-9
1500.214	-0.04	-1.413756E-8
1500.52	-0.06	-2.119408E-8
1500.826	-0.08	-2.862041E-8
1501.134	-0.1	-3.737333E-8
1501.44	-0.12	-4.713457E-8
1501.746	-0.14	-5.732932E-8
1502.053	-0.16	-6.76301E-8
1502.359	-0.18	-8.047862E-8
1502.666	-0.2	-9.762761E-8
1502.973	-0.22	-1.132401E-7
1503.281	-0.24	-1.327502E-7
1503.588	-0.26	-1.510261E-7
1503.894	-0.28	-1.777569E-7
1504.202	-0.3	-2.030229E-7
1504.513	-0.32	-2.316122E-7
1504.82	-0.34	-2.699535E-7
1505.127	-0.36	-3.036338E-7
1505.434	-0.38	-3.426951E-7
1505.741	-0.4	-3.899206E-7
1506.047	-0.42	-4.383079E-7
1506.354	-0.44	-5.024478E-7
1506.661	-0.46	-5.691918E-7
1506.97	-0.48	-6.308034E-7
1507.277	-0.5	-7.058467E-7
1507.584	-0.52	-7.740102E-7
1507.89	-0.54	-8.587777E-7
1508.196	-0.56	-9.527201E-7
1508.503	-0.58	-9.993262E-7
1509.096	-0.6	-1.088421E-6
1509.587	-0.62	-1.194541E-6
1509.891	-0.64	-1.321298E-6
1510.195	-0.66	-1.451652E-6
1510.499	-0.68	-1.618871E-6
1510.803	-0.7	-1.794376E-6
1511.107	-0.72	-1.948658E-6
1511.413	-0.74	-2.14171E-6
1511.717	-0.76	-2.356629E-6
1512.022	-0.78	-2.550847E-6
1512.334	-0.8	-2.719549E-6
1512.646	-0.82	-2.869426E-6
1512.959	-0.84	-3.166632E-6
1513.271	-0.86	-3.392787E-6
1513.583	-0.88	-3.716083E-6
1513.896	-0.9	-3.885801E-6
1514.208	-0.92	-4.155634E-6
1514.52	-0.94	-4.452353E-6
1514.832	-0.96	-4.817836E-6
1515.145	-0.98	-4.940055E-6
1515.457	-1	-5.299245E-6
1515.767	-1.02	-5.616848E-6
1516.071	-1.04	-5.968393E-6
1516.375	-1.06	-6.382929E-6
1516.679	-1.08	-6.647459E-6
1516.99	-1.1	-6.971248E-6
1517.303	-1.12	-7.267046E-6
1517.614	-1.14	-7.692973E-6
1517.925	-1.16	-8.020089E-6
1518.237	-1.18	-8.458913E-6
1518.542	-1.2	-8.92672E-6
1518.846	-1.22	-9.450851E-6
1519.151	-1.24	-9.652949E-6
1519.455	-1.26	-1.026641E-5
1519.759	-1.28	-1.051396E-5
1520.253	-1.3	-1.087547E-5
1520.565	-1.32	-1.13024E-5
1520.877	-1.34	-1.198671E-5
1521.181	-1.36	-1.257645E-5
1521.488	-1.38	-1.287544E-5
1521.793	-1.4	-1.351584E-5
1522.099	-1.42	-1.423271E-5
1522.403	-1.44	-1.455986E-5
1522.708	-1.46	-1.505586E-5
1523.013	-1.48	-1.527043E-5
1523.317	-1.5	-1.583361E-5
1523.621	-1.52	-1.645404E-5
1523.926	-1.54	-1.708576E-5
1524.231	-1.56	-1.74445E-5
1524.536	-1.58	-1.793812E-5
1524.84	-1.6	-1.830913E-5
1525.145	-1.62	-1.874619E-5
1525.45	-1.64	-1.915536E-5
1525.755	-1.66	-1.990916E-5
1526.06	-1.68	-2.066407E-5
1526.364	-1.7	-2.148702E-5
1526.669	-1.72	-2.201729E-5
1526.973	-1.74	-2.258523E-5
1527.277	-1.76	-2.328549E-5
1527.582	-1.78	-2.354886E-5
1527.886	-1.8	-2.414785E-5
1528.19	-1.82	-2.463653E-5
1528.495	-1.84	-2.51351E-5
1528.8	-1.86	-2.569728E-5
1529.106	-1.88	-2.639306E-5
1529.41	-1.9	-2.697586E-5
1529.717	-1.92	-2.673649E-5
1530.024	-1.94	-2.710472E-5
1530.328	-1.96	-2.734226E-5
1530.633	-1.98	-2.781795E-5
1530.937	-2	-2.853559E-5
1531.242	-2.02	-2.891659E-5
1531.546	-2.04	-2.951307E-5
1531.852	-2.06	-2.998497E-5
1532.157	-2.08	-3.066939E-5
1532.461	-2.1	-3.056844E-5
1532.767	-2.12	-3.11652E-5
1533.073	-2.14	-3.157245E-5
1533.377	-2.16	-3.162854E-5
1533.681	-2.18	-3.257465E-5
1533.986	-2.2	-3.289463E-5
1534.291	-2.22	-3.382456E-5
1534.596	-2.24	-3.464044E-5
1534.901	-2.26	-3.501961E-5
1535.206	-2.28	-3.523207E-5
1535.511	-2.3	-3.534833E-5
1535.816	-2.32	-3.603644E-5
1536.12	-2.34	-3.580902E-5
1536.424	-2.36	-3.621294E-5
1536.729	-2.38	-3.713417E-5
1537.034	-2.4	-3.770083E-5
1537.339	-2.42	-3.786053E-5
1537.644	-2.44	-3.814773E-5
1537.95	-2.46	-3.81411E-5
1538.256	-2.48	-3.849432E-5
1538.561	-2.5	-3.869502E-5
1538.866	-2.52	-3.89844E-5
1539.171	-2.54	-3.965033E-5
1539.478	-2.56	-4.02725E-5
1539.782	-2.58	-4.041851E-5
1540.087	-2.6	-4.075793E-5
1540.392	-2.62	-4.105298E-5
1540.697	-2.64	-4.065235E-5
1541.002	-2.66	-4.149267E-5
1541.307	-2.68	-4.090078E-5
1541.612	-2.7	-4.070106E-5
1541.918	-2.72	-4.067813E-5
1542.225	-2.74	-4.116149E-5
1542.53	-2.76	-4.13128E-5
1542.835	-2.78	-4.139529E-5
1543.14	-2.8	-4.110841E-5
1543.447	-2.82	-4.134338E-5
1543.753	-2.84	-4.211513E-5
1544.059	-2.86	-4.216836E-5
1544.366	-2.88	-4.192745E-5
1544.671	-2.9	-4.248967E-5
1544.977	-2.92	-4.233854E-5
1545.283	-2.94	-4.26538E-5
1545.587	-2.96	-4.342823E-5
1545.891	-2.98	-4.329403E-5
1546.197	-3	-4.367916E-5
1546.5	-3.02	-4.385986E-5
1546.816	-3.04	-4.331557E-5
1547.128	-3.06	-4.341106E-5
1547.442	-3.08	-4.405919E-5
1547.754	-3.1	-4.33373E-5
1548.058	-3.12	-4.292132E-5
1548.362	-3.14	-4.243687E-5
1548.667	-3.16	-4.303751E-5
1548.973	-3.18	-4.240477E-5
1549.277	-3.2	-4.242302E-5
1549.583	-3.22	-4.189808E-5
1549.888	-3.24	-4.219853E-5
1550.193	-3.26	-4.230387E-5
1550.499	-3.28	-4.279728E-5
1550.804	-3.3	-4.249486E-5
1551.109	-3.32	-4.31048E-5
1551.414	-3.34	-4.221162E-5
1551.72	-3.36	-4.273832E-5
1552.027	-3.38	-5.84784E-5
1552.334	-3.4	-5.555205E-5
1552.641	-3.42	-5.54331E-5
1552.945	-3.44	-5.427498E-5
1553.251	-3.46	-5.3655E-5
1553.556	-3.48	-5.440437E-5
1553.861	-3.5	-5.406767E-5
1554.166	-3.52	-5.481007E-5
1554.485	-3.54	-5.473829E-5
1554.792	-3.56	-5.487829E-5
1555.099	-3.58	-5.444439E-5
1555.403	-3.6	-5.427013E-5
1555.708	-3.62	-5.467213E-5
1556.013	-3.64	-5.381617E-5
1556.318	-3.66	-5.481194E-5
1556.623	-3.68	-5.45643E-5
1556.928	-3.7	-5.48217E-5
1557.233	-3.72	-5.52423E-5
1557.538	-3.74	-5.488609E-5
1557.843	-3.76	-5.43052E-5
1558.149	-3.78	-5.493963E-5
1558.455	-3.8	-5.487727E-5
1558.761	-3.82	-5.590359E-5
1559.068	-3.84	-5.605646E-5
1559.374	-3.86	-5.79532E-5
1559.687	-3.88	-5.756176E-5
1559.992	-3.9	-5.772068E-5
1560.298	-3.92	-5.787636E-5
1560.604	-3.94	-5.747855E-5
1560.91	-3.96	-5.740096E-5
1561.217	-3.98	-5.719151E-5
1561.522	-4	-5.689336E-5
1561.828	-4	-5.66482E-5
1562.136	-3.98	-5.366425E-5
1562.441	-3.96	-5.151633E-5
1562.747	-3.94	-4.958894E-5
1563.053	-3.92	-4.744363E-5
1563.36	-3.9	-4.587863E-5
1563.665	-3.88	-4.40125E-5
1563.971	-3.86	-4.252394E-5
1564.279	-3.84	-4.072364E-5
1564.585	-3.82	-3.906557E-5
1564.892	-3.8	-3.766198E-5
1565.198	-3.78	-3.672663E-5
1565.504	-3.76	-3.535886E-5
1565.809	-3.74	-3.435234E-5
1566.114	-3.72	-3.252197E-5
1566.419	-3.7	-3.14962E-5
1566.724	-3.68	-3.093902E-5
1567.029	-3.66	-2.96477E-5
1567.335	-3.64	-2.849029E-5
1567.642	-3.62	-2.768544E-5
1567.948	-3.6	-2.66542E-5
1568.255	-3.58	-2.57494E-5
1568.56	-3.56	-2.450805E-5
1568.865	-3.54	-2.365802E-5
1569.173	-3.52	-2.275634E-5
1569.478	-3.5	-2.199241E-5
1569.783	-3.48	-2.098625E-5
1570.09	-3.46	-2.015324E-5
1570.395	-3.44	-1.924842E-5
1570.7	-3.42	-1.839048E-5
1571.008	-3.4	-1.763648E-5
1571.313	-3.38	-1.731621E-5
1571.618	-3.36	-1.611887E-5
1571.923	-3.34	-1.579991E-5
1572.229	-3.32	-1.488738E-5
1572.534	-3.3	-1.443431E-5
1572.841	-3.28	-1.410863E-5
1573.154	-3.26	-1.330676E-5
1573.459	-3.24	-1.237686E-5
1573.764	-3.22	-1.211619E-5
1574.069	-3.2	-1.156455E-5
1574.375	-3.18	-1.105383E-5
1574.686	-3.16	-1.043368E-5
1574.991	-3.14	-9.906894E-6
1575.401	-3.12	-9.597413E-6
1575.716	-3.1	-9.036507E-6
1576.03	-3.08	-8.780157E-6
1576.347	-3.06	-8.191913E-6
1576.653	-3.04	-7.788394E-6
1576.961	-3.02	-7.429825E-6
1577.266	-3	-6.890957E-6
1577.572	-2.98	-6.593619E-6
1577.878	-2.96	-6.16112E-6
1578.185	-2.94	-5.814381E-6
1578.49	-2.92	-5.571862E-6
1578.795	-2.9	-5.141506E-6
1579.103	-2.88	-4.895887E-6
1579.411	-2.86	-4.645741E-6
1579.718	-2.84	-4.364188E-6
1580.025	-2.82	-4.202439E-6
1580.332	-2.8	-3.872068E-6
1580.639	-2.78	-3.629391E-6
1580.945	-2.76	-3.47373E-6
1581.253	-2.74	-3.271955E-6
1581.559	-2.72	-3.024762E-6
1581.867	-2.7	-2.773896E-6
1582.175	-2.68	-2.642063E-6
1582.484	-2.66	-2.487171E-6
1582.79	-2.64	-2.263423E-6
1583.095	-2.62	-2.154501E-6
1583.401	-2.6	-2.039382E-6
1583.706	-2.58	-1.868975E-6
1584.011	-2.56	-1.768111E-6
1584.325	-2.54	-1.647963E-6
1584.638	-2.52	-1.533039E-6
1584.951	-2.5	-1.460075E-6
1585.256	-2.48	-1.38645E-6
1585.562	-2.46	-1.285965E-6
1585.867	-2.44	-1.192829E-6
1586.174	-2.42	-1.108343E-6
