Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,1.08723725134041E-06,-3.65800723045595E-10,-2972.21187068264,
2,0.08308662,0.00999960582703352,2.36776642736913E-09,4223223.08123283,
3,0.16580814,0.0200000442564487,5.79926417998422E-09,3448721.0162761,
4,0.24993666,0.0300000868737698,8.88180551328333E-09,3377701.39516145,
5,0.3326936,0.0399998389184475,1.31275621484406E-08,3047011.96354261,
6,0.41541508,0.0499983131885529,1.81875634552853E-08,2749038.55656506,
7,0.49814734,0.0599978342652321,2.429447221175E-08,2469608.46658008,
8,0.58090392,0.0699995309114456,3.19717265995223E-08,2189419.78918622,
9,0.66364492,0.0799997225403786,4.13356531225872E-08,1935368.53773973,
10,0.74636634,0.0899982154369354,5.26188870253463E-08,1710378.54513311,
11,0.8291108,0.0999970361590385,6.710097721907E-08,1490247.09182059,
12,0.91186014,0.109996020793915,8.5189086007631E-08,1291198.5085045,
13,0.99457594,0.119996570050716,1.07813725946926E-07,1112999.00821337,
14,1.07733604,0.129994824528694,1.36487130930618E-07,952432.831156629,
15,1.16005602,0.139993220567703,1.7225617909844E-07,812703.621434101,
16,1.2427675,0.149993091821671,2.1727267096594E-07,690344.952979308,
17,1.32552212,0.159993872046471,2.73863321353929E-07,584210.661199503,
18,1.40826068,0.16999876499176,3.45576097515732E-07,491928.597532766,
19,1.4909913,0.180000111460686,4.35202281323654E-07,413601.02918859,
20,1.5737353,0.189997166395187,5.48267109934386E-07,346541.244135409,
21,1.6564646,0.199997097253799,6.90645151735225E-07,289580.107456503,
22,1.7391972,0.209999531507492,8.70130293151306E-07,241342.627834445,
23,1.82331862,0.219991192221642,1.09631844225078E-06,200663.588008237,
24,1.90605918,0.230008885264397,1.38078360123473E-06,166578.517487257,
25,1.98879002,0.239997863769531,1.73783439549879E-06,138101.688164969,
26,2.0715355,0.249977707862854,2.18712852984027E-06,114294.932580442,
27,2.15428302,0.259998261928558,2.75408297056856E-06,94404.6583588887,
28,2.2370168,0.269986540079117,3.46486808666668E-06,77921.1598611977,
29,2.31976898,0.280004858970642,4.36165055361926E-06,64196.9950431487,
30,2.40249148,0.289991974830627,5.4853794608789E-06,52866.3471504236,
31,2.48520866,0.299974411725998,6.89613352733431E-06,43498.9274115683,
32,2.567971,0.309993416070938,8.67277958604973E-06,35743.2600465906,
33,2.6507467,0.319977849721909,1.08939475467196E-05,29372.0754895925,
34,2.7334773,0.330002218484879,1.36868384288391E-05,24110.9164984034,
35,2.8162029,0.339990764856339,1.71716692420887E-05,19799.5174530268,
36,2.8989558,0.350007236003876,2.15387390198885E-05,16250.1266058652,
37,2.9816919,0.359992206096649,2.69698211923242E-05,13347.9641384907,
38,3.0644235,0.369975984096527,3.37305064022075E-05,10968.5867056035,
39,3.14720866,0.379997968673706,4.21550284954719E-05,9014.29751647596,
40,3.22997642,0.389983624219894,5.25538016518112E-05,7420.65487105354,
41,3.31273348,0.400001376867294,6.54180839774199E-05,6114.53825222642,
42,3.39550304,0.409985244274139,8.11750287539326E-05,5050.63257220315,
43,3.47823788,0.420006364583969,0.000100493511126842,4179.43765596805,
44,3.56099292,0.429989635944366,0.000123904814245179,3470.32226765229,
45,3.64375572,0.439976811408997,0.00015215743042063,2891.58938996741,
46,3.72650552,0.449992328882217,0.000186089935596101,2418.14436358828,
47,3.80926812,0.459981948137283,0.000226316100452095,2032.47558268462,
48,3.8920375,0.469997048377991,0.000273763434961438,1716.79993876536,
49,3.9747728,0.479982405900955,0.000328893016558141,1459.38764806855,
50,4.05750286,0.490000486373901,0.000392660003853962,1247.90017206882,
51,4.14025696,0.499981194734573,0.000465155695565045,1074.86847845048,
52,4.22300888,0.509966790676117,0.000546952069271356,932.379305842082,
53,4.30574806,0.519981026649475,0.000638463767245412,814.42527097956,
54,4.38852484,0.529963374137878,0.000739192706532776,716.948867939594,
55,4.47128548,0.539977669715881,0.000849640229716897,635.536843512935,
56,4.55402672,0.549961626529694,0.00096887577092275,567.628630041924,
57,4.94308222,0.55997359752655,0.00113077636342496,495.21162242061,
58,5.02585826,0.569993734359741,0.00126472860574722,450.684622589824,
59,5.10862126,0.579975247383118,0.00140722235664725,412.141865600348,
60,5.19138396,0.589991927146912,0.00155775318853557,378.745446640079,
61,5.27412432,0.599983274936676,0.00171486171893775,349.872685541273,
62,5.35688522,0.610001564025879,0.00187883235048503,324.670566731728,
63,5.43966928,0.619987368583679,0.00204819091595709,302.699989416742,
64,5.52242276,0.629969537258148,0.0022229899186641,283.388391449264,
65,5.60518516,0.639985740184784,0.00240341201424599,266.282159026972,
66,5.68794824,0.649972438812256,0.00258815381675959,251.133620653981,
67,5.77068768,0.659992158412933,0.00277782953344285,237.592750191167,
68,5.85344024,0.669977903366089,0.0029710391536355,225.502885933453,
69,5.93620682,0.679995000362396,0.00316869607195258,214.597735131908,
70,6.01895052,0.689975798130035,0.00336922705173492,204.787563300237,
71,6.10169776,0.699959576129913,0.00357363070361316,195.86790974854,
72,6.18447394,0.709982514381409,0.00378184113651514,187.734621511796,
73,6.26723626,0.719966590404511,0.00399251095950603,180.32927090414,
74,6.34997264,0.729988574981689,0.00420720456168056,173.509170823417,
75,6.4327321,0.739970088005066,0.00442388001829386,167.267214514205,
76,6.51548356,0.749989628791809,0.004644223023206,161.488719435803,
77,6.5982521,0.759975969791412,0.00486676348373294,156.156339286184,
78,6.68101946,0.769964039325714,0.00509176356717944,151.217555404332,
79,6.76376072,0.779982388019562,0.00532051641494036,146.599000395774,
80,6.8465209,0.789962410926819,0.00555082922801375,142.314306291403,
81,6.92928434,0.799981534481049,0.00578457396477461,138.295670407634,
82,7.0120218,0.809964001178741,0.00602021394297481,134.540733743178,
83,7.09476102,0.819955408573151,0.0062588625587523,131.007096077951,
84,7.17753722,0.829969763755798,0.00650030048564076,127.681753418817,
85,7.26029102,0.83995258808136,0.00674340361729264,124.559144869722,
86,7.34303902,0.849972188472748,0.00698968581855297,121.603775983269,
87,7.4258191,0.859954953193665,0.00723789865151048,118.812792855866,
88,7.50858834,0.869976937770844,0.00748912943527102,116.16529601873,
89,7.59131606,0.879964590072632,0.00774166593328118,113.666050389709,
90,7.67406006,0.889947772026062,0.00799656007438898,111.291325738469,
91,7.75682412,0.89996737241745,0.00825470127165318,109.024826314183,
92,7.83958332,0.909946858882904,0.00851456169039011,106.869489231596,
93,7.92232662,0.919965147972107,0.00877732690423727,104.811539778471,
94,8.00507162,0.929954409599304,0.00904128048568964,102.856493731305,
95,8.08781794,0.939970016479492,0.00930852070450783,100.979526856968,
96,8.17055106,0.949956059455872,0.00957724545150995,99.1888601232519,
97,8.25330236,0.959939360618591,0.00984785333275795,97.4770163793407,
98,8.33605218,0.9699547290802,0.0101218363270164,95.8279404786737,
99,8.4188037,0.979942083358765,0.0103972842916846,94.2498113803127,
100,8.6542656,0.989995062351227,0.0107035571709275,92.492154387721,
101,8.7370599,0.999987721443176,0.0109815234318376,91.0609286270809,
102,8.81982334,0.989995181560516,0.0107298558577895,92.2654688638537,
103,8.90258652,0.979976356029511,0.010476965457201,93.5362782317809,
104,8.98536666,0.969989418983459,0.0102255335077643,94.8595413869543,
105,9.22169592,0.959937930107117,0.00998756941407919,96.113267433608,
106,9.30446648,0.949956297874451,0.009738864377141,97.5428203009154,
107,9.38719232,0.939970135688782,0.00949072651565075,99.0409042067241,
108,9.46995638,0.929953753948212,0.00924293044954538,100.612436610291,
109,9.55271358,0.91996556520462,0.00899732299149036,102.248809570882,
110,9.63547314,0.909945666790009,0.00875292625278234,103.959023589483,
111,9.7182391,0.899967074394226,0.00851085968315601,105.743380562996,
112,9.8009908,0.88994699716568,0.0082697095349431,107.615266703778,
113,9.88372174,0.879963338375092,0.00803066790103912,109.57536150402,
114,9.96646378,0.869976103305817,0.0077933007851243,111.631275026162,
115,10.04922318,0.859953701496124,0.00755725940689445,113.791740523237,
116,10.1319665,0.849971771240234,0.00732388813048601,116.054717944447,
117,10.2147209,0.839951992034912,0.00709188496693969,118.438468185895,
118,10.29750238,0.829968571662903,0.00686208205297589,120.949963182525,
119,10.38024204,0.819953739643097,0.00663390383124352,123.60048630512,
120,10.46299582,0.809963524341583,0.00640821643173695,126.39453316998,
121,10.54575662,0.79998105764389,0.00618479726836085,129.346367056573,
122,10.62850534,0.789961516857147,0.00596229545772076,132.492849852686,
123,10.7112515,0.779981255531311,0.00574356643483043,135.800858992648,
124,10.79402012,0.769962668418884,0.00552570912986994,139.3418745581,
125,10.87678322,0.759974539279938,0.00531095033511519,143.095772192615,
126,10.95951036,0.749989569187164,0.00509832520037889,147.105086417678,
127,11.04227986,0.739968299865723,0.00488694803789258,151.417263725362,
128,11.125028,0.729986250400543,0.00467925192788243,156.004904555522,
129,11.20777052,0.719965755939484,0.0044728834182024,160.962334276271,
130,11.29055064,0.709980845451355,0.00426995614543557,166.273568455802,
131,11.37329712,0.699958562850952,0.00406902050599456,172.021389870058,
132,11.4560313,0.68997448682785,0.00387134309858084,178.226127020564,
133,11.53878226,0.679993808269501,0.00367644964717329,184.959369372114,
134,11.62153272,0.669977188110352,0.00348382513038814,192.310797194263,
135,11.7042807,0.659990727901459,0.0032946199644357,200.323780899113,
136,11.78705552,0.64997136592865,0.00310804438777268,209.125509431492,
137,11.86981792,0.639985024929047,0.00292539759539068,218.768561899901,
138,11.95259878,0.629968166351318,0.00274563301354647,229.443688666026,
139,12.03537512,0.619985938072205,0.00257009547203779,241.230703223887,
140,12.11812314,0.610000789165497,0.00239839148707688,254.337455937586,
141,12.20087664,0.59998232126236,0.00223021558485925,269.024360396183,
142,12.28363744,0.589990258216858,0.00206689699552953,285.447344252249,
143,12.36639192,0.579974234104156,0.00190782907884568,303.99695682124,
144,12.4491374,0.569991767406464,0.00175433896947652,324.904010754857,
145,12.53189212,0.5599724650383,0.00160564424004406,348.752513833908,
146,12.61463782,0.549984931945801,0.00146308308467269,375.908202143448,
147,12.69737854,0.539998173713684,0.00132658646907657,407.05840614338,
148,12.78011792,0.529981076717377,0.00119616708252579,443.066093741925,
149,12.86287184,0.519996523857117,0.00107294169720262,484.645647767119,
150,13.09990554,0.509957313537598,0.000951536581851542,535.930329179042,
151,13.18266616,0.499972492456436,0.00084457453340292,591.98149207977,
152,13.26539222,0.489992707967758,0.000744369579479098,658.265358332684,
153,13.34815054,0.479973614215851,0.000651429523713887,736.800523684369,
154,13.43091006,0.46999004483223,0.000566631788387895,829.445249037974,
155,13.51366656,0.459976196289063,0.00048946327297017,939.756303875114,
156,13.59643354,0.44998687505722,0.00042019275133498,1070.90584886955,
157,13.67919736,0.439972668886185,0.000358320103259757,1227.87603844609,
158,13.76194134,0.42998543381691,0.000303816632367671,1415.27944163555,
159,13.84470712,0.420001536607742,0.000256125029409304,1639.83011569148,
160,13.92744578,0.409981846809387,0.00021460436983034,1910.40772903882,
161,14.01018552,0.399998605251312,0.00017900591774378,2234.555205174,
162,14.09295816,0.389981627464294,0.000148496314068325,2626.2040907282,
163,14.17570998,0.379996538162231,0.000122733181342483,3096.1190283324,
164,14.25843534,0.369975060224533,0.000100972429208923,3664.11963268719,
165,14.34120978,0.359989762306213,8.28236807137728E-05,4346.45936046103,
166,14.42394932,0.350006490945816,6.77228817949072E-05,5168.21614304276,
167,14.50668906,0.339989334344864,5.51842567801941E-05,6160.98420422847,
168,14.58946338,0.330002874135971,4.48731007054448E-05,7354.13575055064,
169,14.67222898,0.319977581501007,3.63793296855874E-05,8795.58761160391,
170,14.75499082,0.309992909431458,2.94537439913256E-05,10524.73700874,
171,14.83775534,0.29997244477272,2.37864915106911E-05,12611.0420546004,
172,14.9204861,0.289991974830627,1.91924154933076E-05,15109.7174262274,
173,15.00321486,0.280004322528839,1.54610261233756E-05,18110.3324122516,
174,15.0860223,0.269985884428024,1.24292746477295E-05,21721.7731589304,
175,15.16876984,0.259997993707657,9.98541327135172E-06,26037.7799738739,
176,15.25149878,0.249977439641953,8.00724046712276E-06,31218.9250052305,
177,15.3342317,0.239996165037155,6.41927044853219E-06,37386.8287621426,
178,15.41696758,0.230008020997047,5.14048406330403E-06,44744.4283776673,
179,15.49970458,0.219989806413651,4.11033715863596E-06,53521.109807609,
180,15.58460508,0.209998652338982,3.28200849253335E-06,63984.7985819457,
181,15.66735624,0.199997097253799,2.62129969996749E-06,76296.9214303422,
182,15.75006444,0.189996480941772,2.09122094929626E-06,90854.3312966095,
183,15.83281596,0.179997876286507,1.66664551670692E-06,108000.096290517,
184,15.91556362,0.169997930526733,1.32739251057501E-06,128069.074650039,
185,15.99830398,0.159993141889572,1.05607114164741E-06,151498.450795647,
186,16.0810275,0.149993091821671,8.39072640701488E-07,178760.556054208,
187,16.16377532,0.139993384480476,6.66043149522011E-07,210186.659199097,
188,16.24650176,0.129994496703148,5.27910458458791E-07,246243.457806577,
189,16.32922574,0.119996175169945,4.17870012370258E-07,287161.489500761,
190,16.41197974,0.10999646037817,3.30163317130427E-07,333157.727315652,
191,16.49470684,0.099996492266655,2.59962945392545E-07,384656.71373149,
192,16.57745008,0.0899975150823593,2.03721199909523E-07,441768.039469279,
193,16.66020532,0.0799988284707069,1.59169928792835E-07,502600.139846944,
194,16.74294372,0.0699994266033173,1.23110083904976E-07,568592.144388003,
195,16.8256809,0.0599969290196896,9.40295663554025E-08,638064.508273066,
196,16.9084284,0.0499980710446835,7.03579843275293E-08,710623.982801061,
197,16.99114734,0.0400009639561176,5.13393452195032E-08,779148.307893139,
198,17.07387956,0.0299999620765448,3.50542634919293E-08,855814.930570479,
199,17.15879756,0.020000109449029,2.17353779419227E-08,920163.86843926,
200,17.24154164,0.00999976973980665,1.00450217033199E-08,995495.085540902,
201,17.32428728,4.37244125350844E-07,-2.49479104041939E-10,-1752.62824928753,
202,17.40737204,-0.00999938324093819,-1.01952100095559E-08,980792.277115019,
203,17.49012132,-0.019998649135232,-1.93268689940851E-08,1034758.87073858,
204,17.57425886,-0.029996195808053,-2.84585262022574E-08,1054031.94792546,
205,17.65698776,-0.0399943999946117,-3.76483448860654E-08,1062314.96007716,
206,17.73975336,-0.0499947816133499,-4.73616381668762E-08,1055596.54497583,
207,17.82247718,-0.0599971152842045,-5.80637120606298E-08,1033297.96106656,
208,17.90521568,-0.0699952095746994,-6.96382400633411E-08,1005126.05590023,
209,17.98796366,-0.0799955949187279,-8.27250161705706E-08,967006.095880176,
210,18.0707,-0.0899956300854683,-9.70332223459991E-08,927472.343076103,
211,18.15342736,-0.0999971777200699,-1.1384246789703E-07,878382.027087793,
212,18.23617042,-0.109993852674961,-1.32745526570943E-07,828606.850387362,
213,18.31890716,-0.119994968175888,-1.54324212076062E-07,777551.14742945,
214,18.40164158,-0.129992291331291,-1.79160039692761E-07,725565.20725388,
215,18.48439976,-0.139992743730545,-2.07601914326005E-07,674332.624460817,
216,18.56714306,-0.149991437792778,-2.40406109242031E-07,623908.594776071,
217,18.64989342,-0.159992262721062,-2.7780518507825E-07,575915.322372389,
218,18.7326378,-0.169993102550507,-3.20613509074974E-07,530211.914778533,
219,18.8153668,-0.179990500211716,-3.69877852790523E-07,486621.458553918,
220,18.89810018,-0.189991325139999,-4.26470904812959E-07,445496.569627242,
221,18.98084088,-0.199986457824707,-4.91032267291303E-07,407277.629488382,
222,19.0635746,-0.209989503026009,-5.6495781564081E-07,371690.588593461,
223,19.14770066,-0.219995900988579,-6.49702201371838E-07,338610.367217566,
224,19.23045898,-0.229984238743782,-7.46369607895758E-07,308137.196786693,
225,19.31318542,-0.240005180239677,-8.56996962284029E-07,280053.711742486,
226,19.39593692,-0.249987751245499,-9.82746200861584E-07,254376.716009008,
227,19.47868844,-0.259974181652069,-1.12600264401408E-06,230882.390049537,
228,19.5614147,-0.269996553659439,-1.28984891034634E-06,209324.170834042,
229,19.6441552,-0.279984176158905,-1.47544926676346E-06,189761.981293384,
230,19.72690986,-0.29000586271286,-1.68745475548349E-06,171859.933885912,
231,19.80964374,-0.299988448619843,-1.92743800653261E-06,155641.036237275,
232,19.89238172,-0.309976875782013,-2.19935213863209E-06,140940.084280822,
233,19.97513678,-0.319992899894714,-2.50883954322489E-06,127546.179969482,
234,20.05788818,-0.329988837242126,-2.85863416138454E-06,115435.840549215,
235,20.14062234,-0.340011149644852,-3.25571750181552E-06,104435.089793647,
236,20.22335276,-0.349996387958527,-3.70322618437058E-06,94511.2100999075,
237,20.3061043,-0.359980940818787,-4.20831611336325E-06,85540.3755615432,
238,20.38884172,-0.369999468326569,-4.78082074550912E-06,77392.4579109411,
