Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,1.06356128526386E-06,-5.40302913520918E-10,-1968.45372965527,
2,0.08309588,0.00999961234629154,1.45815013397055E-08,685773.852316741,
3,0.16583108,0.0199998710304499,3.05757374974291E-08,654109.194655778,
4,0.24995614,0.0300001073628664,4.76168970919844E-08,630030.707480024,
5,0.3327153,0.0399991199374199,6.6926261865774E-08,597659.555790541,
6,0.41545316,0.0499968826770782,8.91436897632047E-08,560857.227358286,
7,0.49820164,0.0599964931607246,1.15432399638848E-07,519754.361413561,
8,0.58096606,0.0699994117021561,1.46199496953159E-07,478793.793145426,
9,0.66369556,0.0799976587295532,1.83189825975205E-07,436692.6946062,
10,0.74644198,0.0899971351027489,2.27799176855115E-07,395072.257701743,
11,0.82920074,0.0999966263771057,2.81888759445792E-07,354737.899353292,
12,0.91194128,0.109996117651463,3.47668702715964E-07,316381.994675334,
13,0.9946744,0.119996160268784,4.28337727953476E-07,280143.803447118,
14,1.07743064,0.129993811249733,5.2633873792729E-07,246977.472647455,
15,1.16015678,0.139992952346802,6.46091905309731E-07,216676.530376418,
16,1.24289586,0.149992391467094,7.93412993971288E-07,189047.056963782,
17,1.32565336,0.159993007779121,9.73595206232858E-07,164332.164697261,
18,1.4083761,0.169998109340668,1.19419928523712E-06,142353.21645408,
19,1.4911343,0.179997369647026,1.4642981795987E-06,122923.986490481,
20,1.57386488,0.189996182918549,1.79534981725737E-06,105826.83168052,
21,1.65660308,0.199996262788773,2.20084712054813E-06,90872.4013228881,
22,1.73934124,0.209998100996017,2.69806355390756E-06,77832.8963718741,
23,1.82349962,0.219989210367203,3.30636635226256E-06,66535.0378419692,
24,1.90624416,0.230007454752922,4.0538507164456E-06,56738.0179590313,
25,1.98900284,0.239995330572128,4.96598659083247E-06,48327.8249311375,
26,2.07176778,0.2499760389328,6.08087202635943E-06,41108.5840730082,
27,2.15453412,0.259996742010117,7.45166153137689E-06,34891.1099780018,
28,2.23727356,0.269985407590866,9.12314771994716E-06,29593.4490900066,
29,2.32003528,0.280003786087036,1.11723857116885E-05,25062.1302658837,
30,2.4027892,0.289991229772568,1.36678872877383E-05,21216.9755037946,
31,2.48553528,0.299972146749496,1.67118523677345E-05,17949.6647139279,
32,2.56833516,0.309992074966431,2.04385050892597E-05,15167.062053346,
33,2.65109016,0.319977074861526,2.49620807153406E-05,12818.5257675608,
34,2.73386346,0.330001413822174,3.04885652440134E-05,10823.7764283438,
35,2.81663524,0.339988499879837,3.71751993952785E-05,9145.57300055849,
