Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],Smu1.R[1][1],
1,0,8.27144504000898E-07,-5.98490590419942E-10,-1382.05097497108,
2,0.08310042,0.00999943446367979,3.7635485838905E-09,2656916.53522991,
3,0.16582602,0.019999923184514,8.88166784562827E-09,2251820.6638811,
4,0.24996156,0.0299998223781586,1.37090028218267E-08,2188330.01700127,
5,0.33272708,0.0399978868663311,1.96413800779283E-08,2036409.1885416,
6,0.4154641,0.0499974340200424,2.62135166906319E-08,1907315.01652773,
7,0.4981971,0.0599966421723366,3.43559953819295E-08,1746322.33778601,
8,0.58096386,0.0699994042515755,4.43596128718582E-08,1577998.53785431,
9,0.66371328,0.0799975767731667,5.61662005793551E-08,1424301.0199727,
10,0.74645642,0.0899969190359116,7.07645071429397E-08,1271780.48246876,
11,0.82920788,0.0999958589673042,8.81544934827616E-08,1134325.14914124,
12,0.9119397,0.109994731843472,1.10255491847511E-07,997634.94770492,
13,0.99464886,0.11999586224556,1.36951157969634E-07,876194.579327081,
14,1.07739474,0.129993826150894,1.70335326288296E-07,763164.218389304,
15,1.16013922,0.139993011951447,2.11222172197267E-07,662776.120968505,
16,1.24286804,0.149991855025291,2.61821753611002E-07,572877.742038729,
17,1.32564426,0.159993037581444,3.2469336019858E-07,492751.183712513,
18,1.40839138,0.169997587800026,4.02163124135768E-07,422708.044566104,
19,1.49112186,0.179996863007545,4.9812791758086E-07,361346.667501982,
20,1.57385982,0.189995601773262,6.17240573319577E-07,307814.505374214,
21,1.65660266,0.199996098875999,7.64386811624718E-07,261642.529455609,
22,1.73933524,0.209998056292534,9.46952809499635E-07,221761.902162259,
23,1.82347522,0.219989314675331,1.17325544124469E-06,187503.340655252,
24,1.90619058,0.230008214712143,1.45399610573804E-06,158190.392535743,
25,1.98894182,0.239995226264,1.800340214686E-06,133305.485433406,
26,2.07171026,0.249975770711899,2.22956487050396E-06,112118.635353003,
27,2.15446664,0.25999653339386,2.76318837677536E-06,94092.9455187111,
28,2.2372032,0.269984990358353,3.42296175404044E-06,78874.6733847271,
29,2.31995728,0.280003279447556,4.24256086262176E-06,65998.6476362588,
30,2.40268678,0.28999075293541,5.25437508258619E-06,55190.3410733816,
31,2.48541978,0.299971520900726,6.50750189379323E-06,46096.2633275351,
32,2.5681699,0.309992432594299,8.06289062893484E-06,38446.8110582881,
33,2.650904,0.31997686624527,9.98265113594243E-06,32053.2954510647,
34,2.733645,0.330001503229141,1.23653126138379E-05,26687.679764751,
35,2.81638336,0.339989751577377,1.53003275045194E-05,22221.0767368837,
36,2.8991217,0.350005984306335,1.8934244508273E-05,18485.3419503169,
37,2.98186184,0.359989553689957,2.34041708608856E-05,15381.4273459946,
38,3.06461432,0.36997464299202,2.89078780042473E-05,12798.4019767089,
39,3.14736376,0.379996657371521,3.56977070623543E-05,10644.8477687312,
40,3.2300957,0.389982730150223,4.40049443568569E-05,8862.24800076257,
41,3.31285648,0.399999797344208,5.42014422535431E-05,7379.873684414,
42,3.39561708,0.409984081983566,6.66120904497802E-05,6154.79981509752,
43,3.47835594,0.420004040002823,8.17592153907754E-05,5137.0850123179,
44,3.56108824,0.429988414049149,0.000100046214356553,4297.89789463418,
45,3.64384418,0.439976513385773,0.000122093624668196,3603.59940645109,
46,3.72658146,0.449992001056671,0.000148601960972883,3028.17000603906,
47,3.80930978,0.45998141169548,0.000180113973328844,2553.83523662358,
48,3.89206472,0.469997197389603,0.000217494307435118,2160.96321293288,
49,3.97478524,0.479981809854507,0.000261249835602939,1837.25210294107,
50,4.05752646,0.490001320838928,0.000312343414407223,1568.79030655687,
51,4.14027546,0.49998214840889,0.000371054979041219,1347.46109512076,
52,4.22301846,0.509968280792236,0.000438179878983647,1163.83317731317,
53,4.30575414,0.519983410835266,0.000514314218889922,1011.02281783611,
54,4.3885058,0.529965758323669,0.000599381572101265,884.187607679957,
55,4.47121576,0.539981365203857,0.000693964480888098,778.110955351516,
56,4.55394164,0.549964010715485,0.000797613756731153,689.511691685702,
57,4.636681,0.559949994087219,0.00091043853899464,615.033272543086,
58,4.71942234,0.569966495037079,0.00103265990037471,551.940183627021,
59,5.10842922,0.579974412918091,0.00120845157653093,479.93186006096,
60,5.19119546,0.589990675449371,0.00134351919405162,439.138255755133,
61,5.2739292,0.599983036518097,0.00148756231646985,403.333043513716,
62,5.35668818,0.610000848770142,0.00163957022596151,372.049235288116,
63,5.43942086,0.619986951351166,0.00179817015305161,344.787700039958,
