Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
0.838	1	0	-7.05456E-11	7.05456E-11	0
1.153	1	1	0.00281	0.00281	356.41742
121.639	1	1	0.00281	0.00281	356.4145
121.944	1	0	-4.53786E-10	4.53786E-10	0
122.347	1	-2	-1.31407E-5	1.31407E-5	152199.35681
122.853	1	0	2.09675E-10	2.09675E-10	0
123.256	1	-1	-4.35549E-8	4.35549E-8	2.29595E7
123.561	1	0	2.46934E-10	2.46934E-10	0
123.869	1	-2	-1.21926E-5	1.21926E-5	164034.19129
124.362	1	0	3.23942E-10	3.23942E-10	0
124.772	1	-1	-3.02163E-8	3.02163E-8	3.30947E7
125.073	1	0	3.10928E-10	3.10928E-10	0
125.381	1	-2	-1.05678E-5	1.05678E-5	189253.97031
125.876	1	0	3.64683E-10	3.64683E-10	0
126.279	1	-1	-2.51357E-8	2.51357E-8	3.9784E7
126.585	1	0	3.32562E-10	3.32562E-10	0
126.892	1	-2	-1.01471E-5	1.01471E-5	197099.87248
127.38	1	0	3.88226E-10	3.88226E-10	0
127.787	1	-1	-2.23675E-8	2.23675E-8	4.47077E7
128.092	1	0	3.61824E-10	3.61824E-10	0
128.4	1	-2	-8.95011E-6	8.95011E-6	223461.04057
128.992	1	0	4.31039E-10	4.31039E-10	0
129.395	1	-1	-2.01244E-8	2.01244E-8	4.96909E7
129.7	1	0	3.77739E-10	3.77739E-10	0
130.009	1	-2	-8.66805E-6	8.66805E-6	230732.5088
130.506	1	0	4.17775E-10	4.17775E-10	0
130.917	1	-1	-1.84787E-8	1.84787E-8	5.41164E7
131.227	1	0	3.72268E-10	3.72268E-10	0
131.531	1	-2	-8.44515E-6	8.44515E-6	236822.37422
132.035	1	0	4.29464E-10	4.29464E-10	0
132.438	1	-1	-1.76615E-8	1.76615E-8	5.66205E7
132.744	1	0	3.87271E-10	3.87271E-10	0
133.051	1	-2	-8.18865E-6	8.18865E-6	244240.4738
133.557	1	0	4.32323E-10	4.32323E-10	0
133.961	1	-1	-1.64875E-8	1.64875E-8	6.06521E7
134.267	1	0	3.8122E-10	3.8122E-10	0
134.575	1	-2	-8.01778E-6	8.01778E-6	249445.57603
135.072	1	0	4.29298E-10	4.29298E-10	0
135.475	1	-1	-1.59616E-8	1.59616E-8	6.26504E7
135.781	1	0	3.85199E-10	3.85199E-10	0
136.09	1	-2	-7.93021E-6	7.93021E-6	252200.09909
136.595	1	0	4.36054E-10	4.36054E-10	0
136.998	1	-1	-1.5301E-8	1.5301E-8	6.53552E7
137.304	1	0	3.85157E-10	3.85157E-10	0
137.611	1	1	0.00279	0.00279	358.74105
138.193	1	0	-1.91453E-10	1.91453E-10	0
138.598	1	-1	-2.18045E-8	2.18045E-8	4.5862E7
138.903	1	0	2.55762E-10	2.55762E-10	0
139.211	1	1	0.00279	0.00279	358.55531
139.794	1	0	-2.25524E-10	2.25524E-10	0
140.204	1	-1	-2.48293E-8	2.48293E-8	4.02749E7
140.51	1	0	2.33506E-10	2.33506E-10	0
140.817	1	1	0.00279	0.00279	358.45133
141.399	1	0	-2.33524E-10	2.33524E-10	0
141.802	1	-1	-2.71811E-8	2.71811E-8	3.67903E7
142.116	1	0	2.21072E-10	2.21072E-10	0
142.419	1	1	0.00279	0.00279	358.38594
143.008	1	0	-2.42477E-10	2.42477E-10	0
143.411	1	-1	-2.86724E-8	2.86724E-8	3.48768E7
143.718	1	0	2.02795E-10	2.02795E-10	0
144.027	1	1	0.00279	0.00279	358.33496
144.601	1	0	-2.57896E-10	2.57896E-10	0
145.009	1	-1	-2.98079E-8	2.98079E-8	3.35481E7
145.315	1	0	2.16554E-10	2.16554E-10	0
145.622	1	1	0.00279	0.00279	358.30389
146.203	1	0	-2.49647E-10	2.49647E-10	0
146.606	1	-1	-3.02281E-8	3.02281E-8	3.30818E7
146.913	1	0	2.06856E-10	2.06856E-10	0
147.221	1	1	0.00279	0.00279	358.27488
147.802	1	0	-2.60715E-10	2.60715E-10	0
148.206	1	-1	-3.20482E-8	3.20482E-8	3.1203E7
148.512	1	0	2.1013E-10	2.1013E-10	0
148.821	1	1	0.00279	0.00279	358.24369
149.402	1	0	-2.55574E-10	2.55574E-10	0
149.806	1	-1	-3.24008E-8	3.24008E-8	3.08634E7
150.112	1	0	1.95665E-10	1.95665E-10	0
150.42	1	1	0.00279	0.00279	358.22996
151.008	1	0	-2.52466E-10	2.52466E-10	0
151.411	1	-1	-3.22878E-8	3.22878E-8	3.09714E7
151.718	1	0	1.95251E-10	1.95251E-10	0
152.025	1	1	0.00279	0.00279	358.21212
152.607	1	0	-2.50808E-10	2.50808E-10	0
153.012	1	-1	-3.24406E-8	3.24406E-8	3.08256E7
153.318	1	0	1.84475E-10	1.84475E-10	0
153.626	1	1	0.00281	0.00281	355.91178
274.122	1	1	0.00281	0.00281	355.91305
274.42	1	0	-4.50925E-10	4.50925E-10	0
274.828	1	-3	-6.26704E-5	6.26704E-5	47869.48099
275.322	1	0	4.00949E-10	4.00949E-10	0
275.73	1	-1	-1.57918E-8	1.57918E-8	6.33242E7
276.036	1	0	2.78723E-10	2.78723E-10	0
276.344	1	-3	-5.71847E-5	5.71847E-5	52461.56666
276.839	1	0	5.27235E-10	5.27235E-10	0
277.243	1	-1	-1.18245E-8	1.18245E-8	8.45701E7
277.549	1	0	3.58797E-10	3.58797E-10	0
277.856	1	-3	-5.45774E-5	5.45774E-5	54967.80719
278.352	1	0	5.70049E-10	5.70049E-10	0
278.754	1	-1	-1.00114E-8	1.00114E-8	9.98865E7
279.06	1	0	3.9871E-10	3.9871E-10	0
279.367	1	-3	-5.23716E-5	5.23716E-5	57282.92207
279.862	1	0	5.9873E-10	5.9873E-10	0
280.266	1	-1	-9.17254E-9	9.17254E-9	1.09021E8
280.572	1	0	4.12761E-10	4.12761E-10	0
280.879	1	-3	-5.16118E-5	5.16118E-5	58126.1974
281.374	1	0	6.08885E-10	6.08885E-10	0
281.784	1	-1	-8.47387E-9	8.47387E-9	1.1801E8
282.086	1	0	4.17279E-10	4.17279E-10	0
282.394	1	-3	-5.03044E-5	5.03044E-5	59636.97779
282.889	1	0	6.18458E-10	6.18458E-10	0
283.293	1	-1	-7.77674E-9	7.77674E-9	1.28589E8
283.607	1	0	4.39246E-10	4.39246E-10	0
283.914	1	-3	-4.92115E-5	4.92115E-5	60961.29872
284.41	1	0	6.26168E-10	6.26168E-10	0
