pulse number	Resistance	Absolute current 
1	7.44141E7	1.34383E-8
2	9.66296E7	1.03488E-8
3	1.07639E8	9.29028E-9
4	1.17715E8	8.49511E-9
5	1.23223E8	8.11535E-9
6	1.28943E8	7.75536E-9
7	1.34503E8	7.43478E-9
8	1.39084E8	7.18988E-9
9	1.41289E8	7.07771E-9
10	1.43716E8	6.95817E-9
11	1.20949E8	8.26795E-9
12	1.12123E8	8.9188E-9
13	1.04954E8	9.52801E-9
14	9.91015E7	1.00907E-8
15	9.27541E7	1.07812E-8
16	8.9576E7	1.11637E-8
17	8.56043E7	1.16817E-8
18	8.31354E7	1.20286E-8
19	8.05697E7	1.24116E-8
20	7.5817E7	1.31897E-8
