pulse number	Resistance	Absolute current 
1	6.80835E7	1.46879E-8
2	8.86039E7	1.12862E-8
3	1.03713E8	9.64201E-9
4	1.12226E8	8.91056E-9
5	1.21177E8	8.25239E-9
6	1.30018E8	7.69123E-9
7	1.33325E8	7.50046E-9
8	1.38445E8	7.22306E-9
9	1.41038E8	7.09027E-9
10	1.45346E8	6.88013E-9
11	4.56146E7	2.19228E-8
12	2.60586E7	3.8375E-8
13	1.6995E7	5.88408E-8
14	1.30001E7	7.69224E-8
15	1.04614E7	9.55896E-8
16	8.69675E6	1.14986E-7
17	7.49577E6	1.33409E-7
18	6.16456E6	1.62218E-7
19	5.48511E6	1.82312E-7
20	5.14262E6	1.94454E-7
