Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
0.621	1	0	-2.70986E-11	2.70986E-11	0
0.963	1	1	0.01093	0.01093	91.47624
121.558	1	1	0.01093	0.01093	91.47716
121.865	1	0	-3.75004E-10	3.75004E-10	0
122.374	1	-1	-1.35116E-6	1.35116E-6	740102.60783
122.885	1	0	7.0862E-11	7.0862E-11	0
123.304	1	-2	-2.75568E-5	2.75568E-5	72577.44649
124.719	1	0	5.69042E-10	5.69042E-10	0
125.13	1	-1	-2.35991E-7	2.35991E-7	4.23745E6
125.436	1	0	4.37313E-10	4.37313E-10	0
125.749	1	-2	-2.29791E-5	2.29791E-5	87035.61062
127.146	1	0	6.37508E-10	6.37508E-10	0
127.56	1	-1	-1.71293E-7	1.71293E-7	5.83795E6
127.875	1	0	4.86858E-10	4.86858E-10	0
128.192	1	-2	-2.22628E-5	2.22628E-5	89836.12095
129.594	1	0	6.51352E-10	6.51352E-10	0
130.013	1	-1	-1.34329E-7	1.34329E-7	7.44441E6
130.332	1	0	5.13413E-10	5.13413E-10	0
130.646	1	-2	-2.21668E-5	2.21668E-5	90224.85839
132.05	1	0	6.81222E-10	6.81222E-10	0
132.462	1	-1	-1.19554E-7	1.19554E-7	8.36444E6
132.775	1	0	5.24363E-10	5.24363E-10	0
133.091	1	-2	-2.14539E-5	2.14539E-5	93223.23048
134.493	1	0	6.76942E-10	6.76942E-10	0
134.915	1	-1	-1.05252E-7	1.05252E-7	9.50104E6
135.227	1	0	5.32795E-10	5.32795E-10	0
135.542	1	-2	-1.97338E-5	1.97338E-5	101348.74915
136.951	1	0	7.00688E-10	7.00688E-10	0
137.369	1	-1	-9.70519E-8	9.70519E-8	1.03038E7
137.682	1	0	5.38962E-10	5.38962E-10	0
137.997	1	-2	-1.92806E-5	1.92806E-5	103731.15788
139.392	1	0	7.16671E-10	7.16671E-10	0
139.808	1	-1	-9.14953E-8	9.14953E-8	1.09295E7
140.121	1	0	5.44333E-10	5.44333E-10	0
140.434	1	-2	-1.84972E-5	1.84972E-5	108124.5898
141.835	1	0	6.82144E-10	6.82144E-10	0
142.254	1	-1	-8.56818E-8	8.56818E-8	1.16711E7
142.567	1	0	5.51926E-10	5.51926E-10	0
142.881	1	-2	-1.83919E-5	1.83919E-5	108743.34559
144.285	1	0	7.02407E-10	7.02407E-10	0
144.701	1	-1	-8.09389E-8	8.09389E-8	1.2355E7
145.014	1	0	5.60022E-10	5.60022E-10	0
145.328	1	-2	-1.7896E-5	1.7896E-5	111757.06696
146.732	1	0	6.84704E-10	6.84704E-10	0
147.146	1	-1	-7.5831E-8	7.5831E-8	1.31872E7
147.46	1	0	5.55113E-10	5.55113E-10	0
147.775	1	-2	-1.73221E-5	1.73221E-5	115459.37533
149.18	1	0	7.17804E-10	7.17804E-10	0
149.593	1	-1	-7.333E-8	7.333E-8	1.3637E7
149.908	1	0	5.50751E-10	5.50751E-10	0
150.228	1	-2	-1.80596E-5	1.80596E-5	110744.54666
151.624	1	0	7.11385E-10	7.11385E-10	0
152.04	1	-1	-7.10009E-8	7.10009E-8	1.40843E7
152.352	1	0	5.54653E-10	5.54653E-10	0
152.669	1	-2	-1.72675E-5	1.72675E-5	115824.86123
154.072	1	0	7.03457E-10	7.03457E-10	0
154.495	1	-1	-6.74956E-8	6.74956E-8	1.48158E7
154.809	1	0	5.56708E-10	5.56708E-10	0
155.125	1	-2	-1.66355E-5	1.66355E-5	120224.89268
156.53	1	0	7.13483E-10	7.13483E-10	0
156.945	1	-1	-6.30987E-8	6.30987E-8	1.58482E7
157.258	1	0	5.61281E-10	5.61281E-10	0
157.575	1	-2	-1.75635E-5	1.75635E-5	113872.58455
158.966	1	0	7.5384E-10	7.5384E-10	0
159.382	1	-1	-6.24529E-8	6.24529E-8	1.60121E7
159.697	1	0	5.75167E-10	5.75167E-10	0
160.014	1	-2	-1.64178E-5	1.64178E-5	121818.77873
161.417	1	0	7.18265E-10	7.18265E-10	0
161.831	1	-1	-6.03002E-8	6.03002E-8	1.65837E7
162.145	1	0	5.58261E-10	5.58261E-10	0
162.465	1	-2	-1.60207E-5	1.60207E-5	124838.56813
163.869	1	0	7.0375E-10	7.0375E-10	0
164.293	1	-1	-5.80402E-8	5.80402E-8	1.72294E7
164.607	1	0	5.64679E-10	5.64679E-10	0
164.922	1	-2	-1.61349E-5	1.61349E-5	123955.2125
166.327	1	0	7.04086E-10	7.04086E-10	0
166.749	1	-1	-5.68516E-8	5.68516E-8	1.75897E7
167.065	1	0	5.62749E-10	5.62749E-10	0
167.381	1	-2	-1.58192E-5	1.58192E-5	126428.40391
168.786	1	0	7.22755E-10	7.22755E-10	0
169.2	1	-1	-5.48133E-8	5.48133E-8	1.82437E7
169.516	1	0	5.66525E-10	5.66525E-10	0
169.831	1	-2	-1.58151E-5	1.58151E-5	126461.8196
171.235	1	0	7.20992E-10	7.20992E-10	0
171.65	1	-1	-5.23979E-8	5.23979E-8	1.90847E7
171.966	1	0	5.65308E-10	5.65308E-10	0
172.283	1	-2	-1.58778E-5	1.58778E-5	125962.19371
173.685	1	0	7.08365E-10	7.08365E-10	0
174.107	1	-1	-5.09016E-8	5.09016E-8	1.96458E7
174.424	1	0	5.65015E-10	5.65015E-10	0
174.74	1	-2	-1.61192E-5	1.61192E-5	124075.71348
