pulse number	Resistance	Absolute current 
1	7.43486E7	1.34502E-8
2	9.49916E7	1.05272E-8
3	1.06494E8	9.39019E-9
4	1.14983E8	8.69693E-9
5	1.22984E8	8.13116E-9
6	1.29316E8	7.73298E-9
7	1.33259E8	7.50419E-9
8	1.36189E8	7.34274E-9
9	1.40651E8	7.10979E-9
10	1.43682E8	6.95983E-9
11	9.3689E7	1.06736E-8
12	7.16644E7	1.39539E-8
13	6.12904E7	1.63158E-8
14	5.21112E7	1.91897E-8
15	4.62842E7	2.16056E-8
16	4.15971E7	2.40401E-8
17	3.76594E7	2.65538E-8
18	3.37107E7	2.96642E-8
19	3.17924E7	3.14541E-8
20	3.04003E7	3.28944E-8	1.94454E-7
