--	1 V	0.9 V	0.8 V	0.7 V	0.6 V	0.5 V	0.4 V	0.3 V	0.2 V	0.1 V
pulse number	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)	Resistance (Ohm)
1	9.26023E7	1.21978E8	1.26869E8	1.3299E8	1.3725E8	1.41751E8	1.44327E8	1.43274E8	1.42542E8	1.40304E8
2	1.21811E8	1.44136E8	1.48878E8	1.55302E8	1.59241E8	1.63758E8	1.67664E8	1.65583E8	1.67813E8	1.68212E8
3	1.42324E8	1.59819E8	1.61804E8	1.71463E8	1.73493E8	1.76192E8	1.80687E8	1.75576E8	1.79404E8	1.78418E8
4	1.54286E8	1.71179E8	1.72235E8	1.79485E8	1.82752E8	1.84648E8	1.91624E8	1.88063E8	1.91559E8	1.95484E8
5	1.64006E8	1.79708E8	1.80718E8	1.8811E8	1.88304E8	1.95771E8	2.02824E8	2.01865E8	1.9846E8	2.01349E8
6	1.74234E8	1.86819E8	1.88796E8	1.99628E8	1.97017E8	2.04832E8	2.1084E8	2.10132E8	2.05079E8	2.07608E8
7	1.83583E8	1.91252E8	1.98315E8	2.06949E8	2.07158E8	2.109E8	2.15006E8	2.16883E8	2.13986E8	2.12971E8
8	1.87451E8	1.98078E8	2.05077E8	2.13216E8	2.12327E8	2.15743E8	2.22596E8	2.23653E8	2.20137E8	2.17344E8
9	1.92978E8	2.06467E8	2.08526E8	2.17256E8	2.1792E8	2.20836E8	2.2673E8	2.29018E8	2.22709E8	2.23464E8
10	1.99076E8	2.07527E8	2.18993E8	2.21792E8	2.23056E8	2.29961E8	2.31448E8	2.31543E8	2.27915E8	2.28359E8
11	1.22383E8	1.3528E8	1.49224E8	1.55648E8	1.59105E8	1.77987E8	1.85204E8	1.80761E8	1.92316E8	1.91816E8
12	9.74377E7	1.08767E8	1.24694E8	1.33471E8	1.37266E8	1.57634E8	1.64787E8	1.69234E8	1.78911E8	1.7992E8
13	8.34307E7	9.53648E7	1.07362E8	1.18262E8	1.24162E8	1.44268E8	1.53431E8	1.58413E8	1.69349E8	1.73474E8
14	7.27532E7	8.44371E7	9.45993E7	1.08325E8	1.15061E8	1.35403E8	1.41945E8	1.50282E8	1.63648E8	1.6651E8
15	6.51358E7	7.52686E7	8.65616E7	1.00932E8	1.05889E8	1.28177E8	1.35298E8	1.42961E8	1.56963E8	1.61264E8
16	5.79294E7	7.04E7	8.01342E7	9.30526E7	9.87157E7	1.19349E8	1.30755E8	1.36324E8	1.5396E8	1.56911E8
17	5.13679E7	6.61997E7	7.30585E7	8.69245E7	9.48145E7	1.14337E8	1.26747E8	1.3073E8	1.50776E8	1.54124E8
18	4.74262E7	5.96115E7	6.63037E7	8.17819E7	8.75795E7	1.07725E8	1.2288E8	1.27216E8	1.48347E8	1.50625E8
19	4.30105E7	5.535E7	6.2232E7	7.66011E7	8.66472E7	1.04671E8	1.19216E8	1.22255E8	1.4506E8	1.48401E8
20	4.02341E7	5.20913E7	5.98618E7	7.44334E7	8.30998E7	1.00535E8	1.17336E8	1.19631E8	1.4055E8	1.45438E8
